n,instance,MILP_best,MILP_avg,MILP_time_s,SA_best,SA_avg,SA_time_s,VNS_best,VNS_avg,VNS_time_s,MLP_best,MLP_avg,MLP_time_s,GAT_best,GAT_avg,GAT_time_s,MILP_gap_vs_BKS_%,SA_gap_vs_BKS_%,VNS_gap_vs_BKS_%,MLP_gap_vs_BKS_%,GAT_gap_vs_BKS_%,BKS,best_method,LISA_best,LISA_avg,LISA_gap_vs_BKS_%
5,bench_5_1,-30367.7,-30367.7,0.36,-30367.66,-30367.66,10.0,-30367.66,-30367.66,10.0,-30367.66,-30367.66,21.0,-30367.66,-30367.66,39.9,0.0,0.0,0.0,0.0,0.0,-30367.66,MLP,-30367.7,-30367.7,0.0
5,bench_5_2,-35293.6,-35293.6,0.79,-35293.6,-35293.6,10.0,-35293.6,-35344.0,10.0,-35293.6,-35293.6,20.6,-35293.6,-35293.6,35.5,0.0,0.0,0.0,0.0,0.0,-35293.6,MILP,-35293.6,-35293.6,0.0
5,bench_5_3,-27075.2,-27075.2,0.15,-27075.2,-27075.2,10.0,-27075.2,-27075.2,10.0,-27075.2,-27075.2,21.3,-27075.2,-27075.2,47.0,0.0,0.0,0.0,0.0,0.0,-27075.2,MILP,-27075.2,-27075.2,0.0
5,bench_5_4,-29738.2,-29738.2,0.68,-29738.13,-29738.13,10.0,-29738.13,-29738.13,10.0,-29738.13,-29738.13,31.33,-30139.15,-30139.15,34.03,0.0,0.0,0.0,0.0,1.35,-29738.13,MLP,-29738.1,-29738.1,0.0
5,mean,-30618.675,-30618.675,0.495,-30618.6475,-30618.6475,10.0,-30618.6475,-30631.2475,10.0,-30618.6475,-30618.6475,21.05,-30618.6475,-30618.6475,41.55,0.0,0.0,0.0,0.0,0.0,-30618.6475,-,-30618.65,-30618.65,0.0
10,bench_10_1,-37643.09,-37643.13,41.84,-37643.09,-37696.99,30.0,-37643.09,-37643.09,30.0,-37643.09,-37643.09,129.3,-37643.09,-37643.09,201.1,0.0,0.0,0.0,0.0,0.0,-37643.09,SA,-37643.1,-37643.1,0.0
10,bench_10_2,-28382.96,-28383.41,17.77,-28382.96,-28469.56,30.0,-28382.96,-28382.96,30.0,-31575.13,-31575.13,128.0,-30673.69,-30673.69,215.1,0.0,0.0,0.0,11.25,8.07,-28382.96,SA,-28383.0,-28383.0,0.0
10,bench_10_3,-36083.05,-36083.05,72.39,-36395.66,-36404.62,30.0,-36395.66,-36395.66,30.0,-31979.61,-31979.61,114.43,-29063.95,-29063.95,122.05,0.0,0.87,0.87,-11.37,-19.45,-36083.05,MILP,-36395.7,-36395.7,0.866
10,bench_10_4,-32684.63,-32684.7,64.35,-32684.63,-32684.63,30.0,-32684.63,-32684.63,30.0,-33763.38,-33763.38,129.8,-32684.63,-32684.63,246.1,0.0,0.0,0.0,3.3,0.0,-32684.63,SA,-32684.6,-32684.6,0.0
10,mean,-33698.4325,-33698.5725,49.0875,-33776.585,-33813.95,30.0,-33776.585,-33776.585,30.0,-36269.715,-36269.715,129.65,-35753.3275,-35753.3275,228.85,0.0,0.2175,0.2175,7.805,6.125,-33698.4325,-,-33776.6,-33776.6,0.2165
15,bench_15_1,-36385.68,-36385.68,40418.6,-36385.61,-36426.86,120.05,-36385.61,-36385.61,120.0,-38189.41,-38189.41,453.4,-37568.52,-37568.52,567.1,0.0,0.0,0.0,4.96,3.25,-36385.61,SA,-36462.4,-36462.4,0.211
15,bench_15_2,-40252.19,-40252.19,86400.08,-39719.55,-40176.52,120.05,-39799.19,-39984.95,120.0,-41299.5,-41299.5,442.0,-41089.99,-41089.99,580.4,1.34,0.0,0.2,3.98,3.45,-39719.55,SA,-40482.0,-40482.0,1.92
15,bench_15_3,-36302.64,-36302.64,54561.3,-36293.55,-36561.35,120.04,-36689.45,-36689.45,120.0,-38601.93,-38601.93,439.0,-38869.64,-38869.64,573.4,0.03,0.0,1.09,6.36,7.1,-36293.55,SA,-36293.6,-36293.6,0.0
15,bench_15_4,-34573.83,-34573.83,86400.21,-34558.13,-34874.02,120.07,-34558.13,-35179.03,120.01,-34638.83,-34638.83,432.8,-35187.72,-35187.72,575.3,0.05,0.0,0.0,0.23,1.82,-34558.13,SA,-34589.6,-34589.6,0.091
15,mean,-36878.585,-36878.585,66945.0475,-36739.21,-37009.6875,120.0525,-36858.095,-37059.76,120.0025,-38182.4175,-38182.4175,441.8,-38178.9675,-38178.9675,574.05,0.355,0.0,0.3225,3.8825,3.905,-36739.21,-,-36956.9,-36956.9,0.5555
20,bench_20_1,-40090.75,-40090.75,86400.1,-40090.7,-40374.65,300.55,-40090.7,-40486.95,300.02,-42265.08,-42265.08,1078.6,-41865.1,-41865.1,1154.5,0.0,0.0,0.0,5.42,4.43,-40090.7,SA,-40090.7,-40090.7,0.0
20,bench_20_2,-40309.12,-40309.12,86400.08,-38826.69,-39655.67,300.51,-38928.3,-40032.93,300.01,-41324.21,-41324.21,1105.8,-40946.52,-40946.52,1140.6,3.82,0.0,0.26,6.43,5.46,-38826.69,SA,-38826.7,-38826.7,0.0
20,bench_20_3,-37270.65,-37270.65,86400.33,-35251.94,-36896.41,300.52,-35118.95,-36820.52,300.02,-37688.06,-37688.06,1076.7,-37868.29,-37868.29,1140.8,6.13,0.38,0.0,7.32,7.83,-35118.95,VNS,-36016.1,-36016.1,2.555
