n,method,n_runs,obj_mean,obj_std,obj_best,obj_worst,gap_mean_%,gap_best_%,time_mean_s,ref_optimum,proven_optimal
5,greedy,1,-18312.05,0.0,-18312.05,-18312.05,9.4868,9.4868,0.077,-16725.35,True
5,pomo,1,-18027.1695,0.0,-18027.1695,-18027.1695,7.7835,7.7835,0.018,-16725.35,True
5,pomo_aug,1,-17577.6229,0.0,-17577.6229,-17577.6229,5.0957,5.0957,0.133,-16725.35,True
5,sampling,10,-17538.7683,77.7092,-17383.35,-17577.6229,4.8634,3.9341,18.004,-16725.35,True
5,beam,1,-16725.35,0.0,-16725.35,-16725.35,0.0,0.0,32.151,-16725.35,True
5,eas,10,-17850.9656,195.905,-17577.6229,-18027.1695,6.73,5.0957,5.579,-16725.35,True
5,eas_beam,10,-17383.35,0.0,-17383.35,-17383.35,3.9341,3.9341,6.336,-16725.35,True
10,greedy,1,-37393.4082,0.0,-37393.4082,-37393.4082,36.0098,36.0098,0.007,-27493.1662,True
10,pomo,1,-33520.7655,0.0,-33520.7655,-33520.7655,21.924,21.924,0.064,-27493.1662,True
10,pomo_aug,1,-29991.7855,0.0,-29991.7855,-29991.7855,9.0881,9.0881,0.364,-27493.1662,True
10,sampling,10,-28404.9585,454.3497,-27493.1662,-28978.7855,3.3164,-0.0,54.368,-27493.1662,True
10,beam,1,-29130.7855,0.0,-29130.7855,-29130.7855,5.9565,5.9565,221.214,-27493.1662,True
10,eas,10,-31742.7589,978.7307,-29807.1521,-32952.3909,15.4569,8.4166,8.523,-27493.1662,True
10,eas_beam,10,-30789.5312,624.0587,-29254.7855,-31577.2837,11.9898,6.4075,10.979,-27493.1662,True
15,greedy,1,-42644.0266,0.0,-42644.0266,-42644.0266,17.2,17.2,0.01,-36385.6806,True
15,pomo,1,-40923.0745,0.0,-40923.0745,-40923.0745,12.4703,12.4703,0.096,-36385.6806,True
15,pomo_aug,1,-38912.7543,0.0,-38912.7543,-38912.7543,6.9452,6.9452,0.675,-36385.6806,True
15,sampling,10,-38236.4742,140.1221,-37979.2108,-38369.496,5.0866,4.3796,104.9,-36385.6806,True
15,beam,1,-37972.0838,0.0,-37972.0838,-37972.0838,4.36,4.36,514.413,-36385.6806,True
15,eas,10,-38988.3329,332.6467,-38139.4888,-39181.2008,7.153,4.8201,10.715,-36385.6806,True
15,eas_beam,10,-38640.845,573.5179,-37826.3861,-39181.2008,6.1979,3.9595,15.798,-36385.6806,True
20,greedy,1,-45898.4774,0.0,-45898.4774,-45898.4774,14.4864,14.4864,0.013,-40090.7533,False
20,pomo,1,-44999.59,0.0,-44999.59,-44999.59,12.2443,12.2443,0.163,-40090.7533,False
20,pomo_aug,1,-42682.8103,0.0,-42682.8103,-42682.8103,6.4655,6.4655,1.211,-40090.7533,False
20,sampling,10,-42682.8103,0.0,-42682.8103,-42682.8103,6.4655,6.4655,182.574,-40090.7533,False
20,beam,1,-42173.9103,0.0,-42173.9103,-42173.9103,5.1961,5.1961,1289.629,-40090.7533,False
20,eas,10,-45554.1332,616.018,-44681.3113,-46989.5666,13.6275,11.4504,14.182,-40090.7533,False
20,eas_beam,10,-44082.2616,365.4458,-43616.0108,-44934.8291,9.9562,8.7932,22.658,-40090.7533,False
