n,method,seed,objective,gap_vs_milp_%,time_s,n_items,n_truck,n_drone,n_rendv,W_final,profit,rental,arrival,truck_route_node_ids,drone_arc_node_ids,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,W_sequence
5,greedy,0,-18312.05,9.4868,0.007,3,2,1,2,3013.0,2880.0,21192.05,291.5,"[1, 132, 16, 273, 1, 1]","[(1, 240), (240, 132), (132, 185), (185, 1)]","[16, 273, 185]","[16, 273]",[185],"[132, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 2009.0), (1, 3013.0)]"
5,pomo,0,-18027.1695,7.7835,0.017,2,1,1,2,2009.0,1940.0,19967.169475985662,274.65157463529107,"[1, 16, 132, 273, 1, 1]","[(1, 240), (240, 16), (16, 185), (185, 1)]","[273, 185]",[273],[185],"[16, 1]","[(1, 0.0), (16, 0.0), (132, 0.0), (273, 0.0), (1, 1005.0), (1, 2009.0)]"
5,pomo_aug,0,-17577.6229,5.0957,0.132,4,2,2,2,4015.0,3736.0,21313.622903652184,293.17225452066276,"[1, 132, 16, 273, 1, 1]","[(1, 185), (185, 273), (273, 240), (240, 1)]","[16, 273, 185, 240]","[16, 273]","[185, 240]","[273, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 3013.0), (1, 4015.0)]"
5,sampling,0,-17383.35,3.9341,19.281,4,2,2,3,4015.0,3736.0,21119.350000000002,290.5,"[1, 273, 16, 1, 1]","[(1, 240), (240, 273), (273, 132), (132, 16), (16, 185), (185, 1)]","[273, 16, 240, 185]","[273, 16]","[240, 185]","[273, 16, 1]","[(1, 0.0), (273, 0.0), (16, 2007.0), (1, 3011.0), (1, 4015.0)]"
5,sampling,1,-17577.6229,5.0957,19.54,4,2,2,2,4015.0,3736.0,21313.622903652184,293.17225452066276,"[1, 132, 16, 273, 1, 1]","[(1, 185), (185, 273), (273, 240), (240, 1)]","[16, 273, 185, 240]","[16, 273]","[185, 240]","[273, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 3013.0), (1, 4015.0)]"
5,sampling,2,-17577.6229,5.0957,19.301,4,2,2,2,4015.0,3736.0,21313.622903652184,293.17225452066276,"[1, 132, 16, 273, 1, 1]","[(1, 185), (185, 273), (273, 240), (240, 1)]","[16, 273, 185, 240]","[16, 273]","[185, 240]","[273, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 3013.0), (1, 4015.0)]"
5,sampling,3,-17577.6229,5.0957,19.451,4,2,2,2,4015.0,3736.0,21313.622903652184,293.17225452066276,"[1, 132, 16, 273, 1, 1]","[(1, 185), (185, 273), (273, 240), (240, 1)]","[16, 273, 185, 240]","[16, 273]","[185, 240]","[273, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 3013.0), (1, 4015.0)]"
5,sampling,4,-17577.6229,5.0957,19.183,4,2,2,2,4015.0,3736.0,21313.622903652184,293.17225452066276,"[1, 132, 16, 273, 1, 1]","[(1, 185), (185, 273), (273, 240), (240, 1)]","[16, 273, 185, 240]","[16, 273]","[185, 240]","[273, 1]","[(1, 0.0), (132, 0.0), (16, 0.0), (273, 1004.0), (1, 3013.0), (1, 4015.0)]"
5,beam,0,-16725.35,0.0,33.358,5,2,3,3,5021.0,4394.0,21119.350000000002,290.5,"[1, 273, 16, 1, 1]","[(1, 240), (240, 273), (273, 132), (132, 16), (16, 185), (185, 1)]","[273, 16, 240, 132, 185]","[273, 16]","[240, 132, 185]","[273, 16, 1]","[(1, 0.0), (273, 0.0), (16, 2007.0), (1, 4017.0), (1, 5021.0)]"
5,eas,0,-18027.1695,7.7835,6.857,2,1,1,2,2009.0,1940.0,19967.169475985662,274.65157463529107,"[1, 16, 132, 273, 1, 1]","[(1, 240), (240, 16), (16, 185), (185, 1)]","[273, 185]",[273],[185],"[16, 1]","[(1, 0.0), (16, 0.0), (132, 0.0), (273, 0.0), (1, 1005.0), (1, 2009.0)]"
