method,n,best,mean,worst,gap_best_%,gap_mean_%,time_s
DRL (GAT + POMO-PPO),5,-16725.35,-16725.35,-16725.35,0.0,0.0,97.3
GVNS,5,-16725.35,-16725.35,-16725.35,0.0,0.0,0.07
Greedy (NN),5,-23466.2,-23466.2,-23466.2,40.3032,40.3032,
MILP (Gurobi),5,-16725.35,-16725.35,-16725.35,0.0,0.0,0.35
SA,5,-16725.35,-16725.35,-16725.35,0.0,0.0,
VNS,5,-16725.35,-16725.35,-16725.35,0.0,0.0,
DRL (GAT + POMO-PPO),10,-27493.1662,-27493.1662,-27493.1662,0.0,0.0,54.2
GVNS,10,-27493.1662,-27493.1662,-27493.1662,0.0,0.0,0.74
Greedy (NN),10,-59625.3,-59625.3,-59625.3,116.8732,116.8732,
MILP (Gurobi),10,-27493.1662,-27493.1662,-27493.1662,0.0,0.0,80.96
SA,10,-27493.1662,-27493.1662,-27493.1662,0.0,0.0,
VNS,10,-27493.1662,-27493.1662,-27493.1662,0.0,0.0,
DRL (GAT + POMO-PPO),15,-37568.62,-37568.62,-37568.62,3.2511,3.2511,
GVNS,15,-36385.6806,-36385.6806,-36385.6806,0.0,0.0,6.69
Greedy (NN),15,-51506.2873,-51506.2873,-51506.2873,41.5565,41.5565,
MILP (Gurobi),15,-36385.6806,-36385.6806,-36385.6806,0.0,0.0,41115.65
SA,15,-36385.6806,-36401.0277,-36462.4161,0.0,0.0422,
VNS,15,-36385.6806,-36385.6806,-36385.6806,0.0,0.0,
DRL (GAT + POMO-PPO),20,-41865.1519,-41865.1519,-41865.1519,4.426,4.426,3013.5
GVNS,20,-40090.7533,-40090.7533,-40090.7533,0.0,0.0,38.74
Greedy (NN),20,-63746.9094,-63746.9094,-63746.9094,59.0065,59.0065,
MILP (Gurobi),20,-40090.7533,-40090.7533,-40090.7533,0.0,0.0,86400.17
SA,20,-40117.5844,-40178.0523,-40193.1693,0.0669,0.2178,
VNS,20,-40090.7533,-40648.0098,-42824.4133,0.0,1.39,
