n,instance,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,winner,SA_full_best,BKS,LISA_gap_vs_BKS_%,SA_full_gap_vs_BKS_%,portfolio_vs_SAfull_%
5,bench_5_1,5%,0.0500,0.50,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,5%,0.0500,0.50,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,5%,0.0500,0.50,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,5%,0.0500,0.50,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
5,bench_5_1,10%,0.1000,1.00,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,10%,0.1000,1.00,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,10%,0.1000,1.00,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,10%,0.1000,1.00,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
5,bench_5_1,20%,0.2000,2.00,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,20%,0.2000,2.00,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,20%,0.2000,2.00,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,20%,0.2000,2.00,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
5,bench_5_1,25%,0.2500,2.50,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,25%,0.2500,2.50,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,25%,0.2500,2.50,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,25%,0.2500,2.50,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
5,bench_5_1,33.33%,0.3333,3.33,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,33.33%,0.3333,3.33,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,33.33%,0.3333,3.33,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,33.33%,0.3333,3.33,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
5,bench_5_1,50%,0.5000,5.00,10.0,-30367.7,-30367.7,-30367.7,-30367.7,PORTF,-30367.7,-30367.7,0.000,0.000,-0.000
5,bench_5_2,50%,0.5000,5.00,10.0,-35293.6,-35293.6,-35293.6,-35293.6,PORTF,-35293.6,-35293.6,0.000,0.000,+0.000
5,bench_5_3,50%,0.5000,5.00,10.0,-27075.2,-27075.2,-27075.2,-27075.2,PORTF,-27075.2,-27075.2,0.000,0.000,+0.000
5,bench_5_4,50%,0.5000,5.00,10.0,-29738.1,-29738.1,-29738.1,-29738.1,PORTF,-29738.1,-29738.1,-0.000,0.000,+0.000
10,bench_10_1,5%,0.0500,1.50,30.0,-37643.1,-41271.6,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,5%,0.0500,1.50,30.0,-39787.7,-39603.5,-39491.0,-39491.0,PORTF,-28383.0,-28383.0,39.136,0.000,-39.136
10,bench_10_3,5%,0.0500,1.50,30.0,-29226.5,-29092.9,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,5%,0.0500,1.50,30.0,-37134.5,-37514.0,-37134.5,-37134.5,PORTF,-32684.6,-32684.6,13.615,0.000,-13.615
10,bench_10_1,10%,0.1000,3.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,10%,0.1000,3.00,30.0,-39787.7,-38951.4,-39491.0,-38951.4,PORTF,-28383.0,-28383.0,37.235,0.000,-37.235
10,bench_10_3,10%,0.1000,3.00,30.0,-29226.5,-29092.9,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,10%,0.1000,3.00,30.0,-37134.5,-37141.3,-37134.5,-37134.5,PORTF,-32684.6,-32684.6,13.615,0.000,-13.615
10,bench_10_1,20%,0.2000,6.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,20%,0.2000,6.00,30.0,-39787.7,-38951.4,-38915.5,-38915.5,PORTF,-28383.0,-28383.0,37.109,0.000,-37.109
10,bench_10_3,20%,0.2000,6.00,30.0,-29226.5,-29092.9,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,20%,0.2000,6.00,30.0,-37134.5,-37103.6,-37134.5,-37103.6,PORTF,-32684.6,-32684.6,13.520,0.000,-13.520
10,bench_10_1,25%,0.2500,7.50,30.0,-37643.1,-37643.1,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,25%,0.2500,7.50,30.0,-39787.7,-38951.4,-38915.5,-38915.5,PORTF,-28383.0,-28383.0,37.109,0.000,-37.109
10,bench_10_3,25%,0.2500,7.50,30.0,-29226.5,-29063.9,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,25%,0.2500,7.50,30.0,-37134.5,-37103.6,-37134.5,-37103.6,PORTF,-32684.6,-32684.6,13.520,0.000,-13.520
10,bench_10_1,33.33%,0.3333,10.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,33.33%,0.3333,10.00,30.0,-39787.7,-38951.4,-38915.5,-38915.5,PORTF,-28383.0,-28383.0,37.109,0.000,-37.109
10,bench_10_3,33.33%,0.3333,10.00,30.0,-29226.5,-28383.0,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,33.33%,0.3333,10.00,30.0,-37134.5,-37103.6,-37134.5,-37103.6,PORTF,-32684.6,-32684.6,13.520,0.000,-13.520
10,bench_10_1,50%,0.5000,15.00,30.0,-37643.1,-37643.1,-37643.1,-37643.1,PORTF,-37643.1,-37643.1,0.000,0.000,-0.000
10,bench_10_2,50%,0.5000,15.00,30.0,-39787.7,-38951.4,-38977.0,-38951.4,PORTF,-28383.0,-28383.0,37.235,0.000,-37.235
10,bench_10_3,50%,0.5000,15.00,30.0,-29226.5,-28383.0,-28383.0,-28383.0,PORTF,-36395.7,-36083.1,-21.340,0.866,+22.015
10,bench_10_4,50%,0.5000,15.00,30.0,-37134.5,-36395.7,-37134.5,-36395.7,PORTF,-32684.6,-32684.6,11.354,0.000,-11.354
15,bench_15_1,5%,0.0500,6.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,PORTF,-36385.6,-36385.6,1.689,0.000,-1.689
15,bench_15_2,5%,0.0500,6.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,PORTF,-39719.6,-39719.6,3.143,0.000,-3.143
15,bench_15_3,5%,0.0500,6.00,120.0,-38686.2,-37707.5,-38644.8,-37707.5,PORTF,-36293.6,-36293.6,3.896,0.000,-3.896
15,bench_15_4,5%,0.0500,6.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
15,bench_15_1,10%,0.1000,12.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,PORTF,-36385.6,-36385.6,1.689,0.000,-1.689
15,bench_15_2,10%,0.1000,12.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,PORTF,-39719.6,-39719.6,3.143,0.000,-3.143
15,bench_15_3,10%,0.1000,12.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,PORTF,-36293.6,-36293.6,0.000,0.000,-0.000
15,bench_15_4,10%,0.1000,12.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
15,bench_15_1,20%,0.2000,24.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,PORTF,-36385.6,-36385.6,1.689,0.000,-1.689
15,bench_15_2,20%,0.2000,24.00,120.0,-41734.6,-41828.0,-40968.0,-40968.0,PORTF,-39719.6,-39719.6,3.143,0.000,-3.143
15,bench_15_3,20%,0.2000,24.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,PORTF,-36293.6,-36293.6,0.000,0.000,-0.000
15,bench_15_4,20%,0.2000,24.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
15,bench_15_1,25%,0.2500,30.00,120.0,-37052.4,-37043.4,-37000.1,-37000.1,PORTF,-36385.6,-36385.6,1.689,0.000,-1.689
15,bench_15_2,25%,0.2500,30.00,120.0,-41734.6,-42156.7,-39854.0,-39854.0,PORTF,-39719.6,-39719.6,0.338,0.000,-0.338
15,bench_15_3,25%,0.2500,30.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,PORTF,-36293.6,-36293.6,0.000,0.000,-0.000
15,bench_15_4,25%,0.2500,30.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
15,bench_15_1,33.33%,0.3333,40.00,120.0,-37052.4,-37043.4,-36385.6,-36385.6,PORTF,-36385.6,-36385.6,-0.000,0.000,+0.000
15,bench_15_2,33.33%,0.3333,40.00,120.0,-41734.6,-41070.6,-39854.0,-39854.0,PORTF,-39719.6,-39719.6,0.338,0.000,-0.338
15,bench_15_3,33.33%,0.3333,40.00,120.0,-38686.2,-36293.6,-38644.8,-36293.6,PORTF,-36293.6,-36293.6,0.000,0.000,-0.000
15,bench_15_4,33.33%,0.3333,40.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
15,bench_15_1,50%,0.5000,60.00,120.0,-37052.4,-37043.4,-36385.6,-36385.6,PORTF,-36385.6,-36385.6,-0.000,0.000,+0.000
15,bench_15_2,50%,0.5000,60.00,120.0,-41734.6,-41070.6,-39854.0,-39854.0,PORTF,-39719.6,-39719.6,0.338,0.000,-0.338
15,bench_15_3,50%,0.5000,60.00,120.0,-38686.2,-36293.6,-38005.8,-36293.6,PORTF,-36293.6,-36293.6,0.000,0.000,-0.000
15,bench_15_4,50%,0.5000,60.00,120.0,-34589.6,-35546.2,-34589.6,-34589.6,PORTF,-34558.1,-34558.1,0.091,0.000,-0.091
20,bench_20_1,5%,0.0500,15.00,300.0,-40121.2,-41639.4,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,5%,0.0500,15.00,300.0,-40499.6,-41125.1,-40499.6,-40499.6,PORTF,-38826.7,-38826.7,4.309,0.000,-4.309
20,bench_20_3,5%,0.0500,15.00,300.0,-39178.5,-35533.6,-36490.5,-35533.6,PORTF,-35251.9,-35118.9,1.181,0.379,-0.799
20,bench_20_4,5%,0.0500,15.00,300.0,-37543.5,-37148.2,-37106.2,-37106.2,PORTF,-37515.7,-37515.7,-1.092,0.000,+1.092
20,bench_20_1,10%,0.1000,30.00,300.0,-40121.2,-40090.7,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,10%,0.1000,30.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,PORTF,-38826.7,-38826.7,0.000,0.000,-0.000
20,bench_20_3,10%,0.1000,30.00,300.0,-39178.5,-35533.6,-36490.5,-35533.6,PORTF,-35251.9,-35118.9,1.181,0.379,-0.799
20,bench_20_4,10%,0.1000,30.00,300.0,-37543.5,-38806.7,-37106.2,-37106.2,PORTF,-37515.7,-37515.7,-1.092,0.000,+1.092
20,bench_20_1,20%,0.2000,60.00,300.0,-40121.2,-40193.1,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,20%,0.2000,60.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,PORTF,-38826.7,-38826.7,0.000,0.000,-0.000
20,bench_20_3,20%,0.2000,60.00,300.0,-39178.5,-35533.6,-35142.8,-35142.8,PORTF,-35251.9,-35118.9,0.068,0.379,+0.310
20,bench_20_4,20%,0.2000,60.00,300.0,-37543.5,-37088.0,-37080.4,-37080.4,PORTF,-37515.7,-37515.7,-1.160,0.000,+1.160
20,bench_20_1,25%,0.2500,75.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,25%,0.2500,75.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,PORTF,-38826.7,-38826.7,0.000,0.000,-0.000
20,bench_20_3,25%,0.2500,75.00,300.0,-39178.5,-35533.6,-35142.8,-35142.8,PORTF,-35251.9,-35118.9,0.068,0.379,+0.310
20,bench_20_4,25%,0.2500,75.00,300.0,-37543.5,-37088.0,-37080.4,-37080.4,PORTF,-37515.7,-37515.7,-1.160,0.000,+1.160
20,bench_20_1,33.33%,0.3333,100.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,33.33%,0.3333,100.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,PORTF,-38826.7,-38826.7,0.000,0.000,-0.000
20,bench_20_3,33.33%,0.3333,100.00,300.0,-39178.5,-35462.0,-35142.8,-35142.8,PORTF,-35251.9,-35118.9,0.068,0.379,+0.310
20,bench_20_4,33.33%,0.3333,100.00,300.0,-37543.5,-38096.8,-37080.4,-37080.4,PORTF,-37515.7,-37515.7,-1.160,0.000,+1.160
20,bench_20_1,50%,0.5000,150.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,PORTF,-40090.7,-40090.7,0.000,0.000,+0.000
20,bench_20_2,50%,0.5000,150.00,300.0,-40499.6,-38826.7,-39895.8,-38826.7,PORTF,-38826.7,-38826.7,0.000,0.000,-0.000
20,bench_20_3,50%,0.5000,150.00,300.0,-39178.5,-35462.0,-35142.8,-35142.8,PORTF,-35251.9,-35118.9,0.068,0.379,+0.310
20,bench_20_4,50%,0.5000,150.00,300.0,-37543.5,-37063.2,-37080.4,-37063.2,PORTF,-37515.7,-37515.7,-1.206,0.000,+1.206
30,bench_30_1,5%,0.0500,22.50,450.0,-43097.9,-36268.6,-36395.9,-36268.6,PORTF,-37027.1,-37027.1,-2.048,0.000,+2.048
30,bench_30_2,5%,0.0500,22.50,450.0,-60158.0,-37933.1,-38297.4,-37933.1,PORTF,-39126.8,-39126.8,-3.051,0.000,+3.051
30,bench_30_3,5%,0.0500,22.50,450.0,-49025.9,-42550.3,-41343.9,-41343.9,PORTF,-37664.8,-37664.8,9.768,0.000,-9.768
30,bench_30_4,5%,0.0500,22.50,450.0,-47751.3,-40676.9,-40637.9,-40637.9,PORTF,-37021.4,-37021.4,9.769,0.000,-9.769
30,bench_30_1,10%,0.1000,45.00,450.0,-43097.9,-36268.6,-36395.9,-36268.6,PORTF,-37027.1,-37027.1,-2.048,0.000,+2.048
30,bench_30_2,10%,0.1000,45.00,450.0,-60158.0,-37933.1,-38596.6,-37933.1,PORTF,-39126.8,-39126.8,-3.051,0.000,+3.051
30,bench_30_3,10%,0.1000,45.00,450.0,-49025.9,-42550.3,-39499.3,-39499.3,PORTF,-37664.8,-37664.8,4.871,0.000,-4.871
30,bench_30_4,10%,0.1000,45.00,450.0,-47751.3,-40676.9,-40637.9,-40637.9,PORTF,-37021.4,-37021.4,9.769,0.000,-9.769
30,bench_30_1,20%,0.2000,90.00,450.0,-43097.9,-35720.2,-33109.9,-33109.9,PORTF,-37027.1,-37027.1,-10.579,0.000,+10.579
30,bench_30_2,20%,0.2000,90.00,450.0,-60158.0,-38966.6,-38596.6,-38596.6,PORTF,-39126.8,-39126.8,-1.355,0.000,+1.355
30,bench_30_3,20%,0.2000,90.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,PORTF,-37664.8,-37664.8,4.871,0.000,-4.871
30,bench_30_4,20%,0.2000,90.00,450.0,-47751.3,-40973.3,-40637.9,-40637.9,PORTF,-37021.4,-37021.4,9.769,0.000,-9.769
30,bench_30_1,25%,0.2500,112.50,450.0,-43097.9,-35720.2,-33109.9,-33109.9,PORTF,-37027.1,-37027.1,-10.579,0.000,+10.579
30,bench_30_2,25%,0.2500,112.50,450.0,-60158.0,-38966.6,-38596.6,-38596.6,PORTF,-39126.8,-39126.8,-1.355,0.000,+1.355
30,bench_30_3,25%,0.2500,112.50,450.0,-49025.9,-41303.9,-39499.3,-39499.3,PORTF,-37664.8,-37664.8,4.871,0.000,-4.871
30,bench_30_4,25%,0.2500,112.50,450.0,-47751.3,-40973.3,-40488.6,-40488.6,PORTF,-37021.4,-37021.4,9.365,0.000,-9.365
30,bench_30_1,33.33%,0.3333,150.00,450.0,-43097.9,-35720.2,-33109.9,-33109.9,PORTF,-37027.1,-37027.1,-10.579,0.000,+10.579
30,bench_30_2,33.33%,0.3333,150.00,450.0,-60158.0,-38966.6,-37626.6,-37626.6,PORTF,-39126.8,-39126.8,-3.834,0.000,+3.834
30,bench_30_3,33.33%,0.3333,150.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,PORTF,-37664.8,-37664.8,4.871,0.000,-4.871
30,bench_30_4,33.33%,0.3333,150.00,450.0,-47751.3,-40973.3,-40488.6,-40488.6,PORTF,-37021.4,-37021.4,9.365,0.000,-9.365
30,bench_30_1,50%,0.5000,225.00,450.0,-43097.9,-35761.0,-33109.9,-33109.9,PORTF,-37027.1,-37027.1,-10.579,0.000,+10.579
30,bench_30_2,50%,0.5000,225.00,450.0,-60158.0,-38749.7,-37626.6,-37626.6,PORTF,-39126.8,-39126.8,-3.834,0.000,+3.834
30,bench_30_3,50%,0.5000,225.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,PORTF,-37664.8,-37664.8,4.871,0.000,-4.871
30,bench_30_4,50%,0.5000,225.00,450.0,-47751.3,-40973.3,-40488.6,-40488.6,PORTF,-37021.4,-37021.4,9.365,0.000,-9.365
40,bench_40_1,5%,0.0500,30.00,600.0,-56276.5,-38609.9,-40570.6,-38609.9,PORTF,-38852.3,-38852.3,-0.624,0.000,+0.624
40,bench_40_2,5%,0.0500,30.00,600.0,-67503.2,-43528.6,-44794.1,-43528.6,PORTF,-39658.4,-39658.4,9.759,0.000,-9.759
40,bench_40_3,5%,0.0500,30.00,600.0,-67689.8,-45205.1,-44290.1,-44290.1,PORTF,-36491.2,-36491.2,21.372,0.000,-21.372
40,bench_40_4,5%,0.0500,30.00,600.0,-53413.9,-42139.1,-38773.0,-38773.0,PORTF,-34242.6,-34242.6,13.230,0.000,-13.230
40,bench_40_1,10%,0.1000,60.00,600.0,-56276.5,-36952.5,-38849.1,-36952.5,PORTF,-38852.3,-38852.3,-4.890,0.000,+4.890
40,bench_40_2,10%,0.1000,60.00,600.0,-67503.2,-41869.2,-40979.7,-40979.7,PORTF,-39658.4,-39658.4,3.332,0.000,-3.332
40,bench_40_3,10%,0.1000,60.00,600.0,-67689.8,-46055.3,-44290.1,-44290.1,PORTF,-36491.2,-36491.2,21.372,0.000,-21.372
40,bench_40_4,10%,0.1000,60.00,600.0,-53413.9,-42142.6,-38773.0,-38773.0,PORTF,-34242.6,-34242.6,13.230,0.000,-13.230
40,bench_40_1,20%,0.2000,120.00,600.0,-56276.5,-36952.5,-36566.1,-36566.1,PORTF,-38852.3,-38852.3,-5.884,0.000,+5.884
