n,instance,seed,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,winner,SA_full_best,gap_vs_SAfull_%,gat_gap_vs_SAfull_%
50,bench_50_1,0,5%,0.0500,37.50,750.0,-60088.5,-39424.4,-38647.0,-38647.0,PORTF,-35221.8,+9.725,+70.600
50,bench_50_2,0,5%,0.0500,37.50,750.0,-70437.4,-42268.1,-42837.2,-42268.1,PORTF,-37492.6,+12.737,+87.870
50,bench_50_3,0,5%,0.0500,37.50,750.0,-61156.1,-43174.0,-44693.7,-43174.0,PORTF,-39688.3,+8.783,+54.091
50,bench_50_4,0,5%,0.0500,37.50,750.0,-56164.9,-42733.5,-44617.7,-42733.5,PORTF,-35458.6,+20.516,+58.396
50,bench_50_1,0,10%,0.1000,75.00,750.0,-60088.5,-39569.8,-38647.0,-38647.0,PORTF,-35221.8,+9.725,+70.600
50,bench_50_2,0,10%,0.1000,75.00,750.0,-70437.4,-37492.6,-42837.2,-37492.6,PORTF,-37492.6,-0.000,+87.870
50,bench_50_3,0,10%,0.1000,75.00,750.0,-61156.1,-44600.2,-45430.4,-44600.2,PORTF,-39688.3,+12.376,+54.091
50,bench_50_4,0,10%,0.1000,75.00,750.0,-56164.9,-43115.6,-44394.3,-43115.6,PORTF,-35458.6,+21.594,+58.396
50,bench_50_1,0,20%,0.2000,150.00,750.0,-60088.5,-39569.8,-38647.0,-38647.0,PORTF,-35221.8,+9.725,+70.600
50,bench_50_2,0,20%,0.2000,150.00,750.0,-70437.4,-37492.6,-44122.9,-37492.6,PORTF,-37492.6,-0.000,+87.870
50,bench_50_3,0,20%,0.2000,150.00,750.0,-61156.1,-43135.7,-44587.6,-43135.7,PORTF,-39688.3,+8.686,+54.091
50,bench_50_4,0,20%,0.2000,150.00,750.0,-56164.9,-41677.2,-40550.7,-40550.7,PORTF,-35458.6,+14.361,+58.396
50,bench_50_1,0,25%,0.2500,187.50,750.0,-60088.5,-39569.8,-38647.0,-38647.0,PORTF,-35221.8,+9.725,+70.600
50,bench_50_2,0,25%,0.2500,187.50,750.0,-70437.4,-37492.6,-44122.9,-37492.6,PORTF,-37492.6,-0.000,+87.870
50,bench_50_3,0,25%,0.2500,187.50,750.0,-61156.1,-43135.7,-44587.6,-43135.7,PORTF,-39688.3,+8.686,+54.091
50,bench_50_4,0,25%,0.2500,187.50,750.0,-56164.9,-41677.2,-40550.7,-40550.7,PORTF,-35458.6,+14.361,+58.396
50,bench_50_1,0,33.33%,0.3333,250.00,750.0,-60088.5,-38795.4,-36734.3,-36734.3,PORTF,-35221.8,+4.294,+70.600
50,bench_50_2,0,33.33%,0.3333,250.00,750.0,-70437.4,-37492.6,-44122.9,-37492.6,PORTF,-37492.6,-0.000,+87.870
50,bench_50_3,0,33.33%,0.3333,250.00,750.0,-61156.1,-43135.7,-43656.0,-43135.7,PORTF,-39688.3,+8.686,+54.091
50,bench_50_4,0,33.33%,0.3333,250.00,750.0,-56164.9,-41677.2,-40550.7,-40550.7,PORTF,-35458.6,+14.361,+58.396
50,bench_50_1,0,50%,0.5000,375.00,750.0,-60088.5,-38795.4,-36734.3,-36734.3,PORTF,-35221.8,+4.294,+70.600
50,bench_50_2,0,50%,0.5000,375.00,750.0,-70437.4,-37492.6,-41087.8,-37492.6,PORTF,-37492.6,-0.000,+87.870
50,bench_50_3,0,50%,0.5000,375.00,750.0,-61156.1,-42201.0,-43656.0,-42201.0,PORTF,-39688.3,+6.331,+54.091
50,bench_50_4,0,50%,0.5000,375.00,750.0,-56164.9,-39534.2,-40550.7,-39534.2,PORTF,-35458.6,+11.494,+58.396
50,bench_50_1,1,5%,0.0500,37.50,750.0,-60088.5,-38880.3,-41495.1,-38880.3,PORTF,-35221.8,+10.387,+70.600
50,bench_50_2,1,5%,0.0500,37.50,750.0,-70437.4,-42628.7,-46506.9,-42628.7,PORTF,-37492.6,+13.699,+87.870
50,bench_50_3,1,5%,0.0500,37.50,750.0,-61156.1,-41789.0,-48616.4,-41789.0,PORTF,-39688.3,+5.293,+54.091
50,bench_50_4,1,5%,0.0500,37.50,750.0,-56164.9,-44160.6,-45776.2,-44160.6,PORTF,-35458.6,+24.541,+58.396
50,bench_50_1,1,10%,0.1000,75.00,750.0,-60088.5,-39146.2,-42023.7,-39146.2,PORTF,-35221.8,+11.142,+70.600
50,bench_50_2,1,10%,0.1000,75.00,750.0,-70437.4,-42628.7,-45224.4,-42628.7,PORTF,-37492.6,+13.699,+87.870
50,bench_50_3,1,10%,0.1000,75.00,750.0,-61156.1,-41652.5,-45558.4,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,10%,0.1000,75.00,750.0,-56164.9,-43772.8,-42256.4,-42256.4,PORTF,-35458.6,+19.171,+58.396
50,bench_50_1,1,20%,0.2000,150.00,750.0,-60088.5,-39146.2,-38683.9,-38683.9,PORTF,-35221.8,+9.830,+70.600
50,bench_50_2,1,20%,0.2000,150.00,750.0,-70437.4,-42628.7,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,20%,0.2000,150.00,750.0,-61156.1,-41652.5,-44750.8,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,20%,0.2000,150.00,750.0,-56164.9,-43772.8,-42256.4,-42256.4,PORTF,-35458.6,+19.171,+58.396
50,bench_50_1,1,25%,0.2500,187.50,750.0,-60088.5,-38880.3,-39589.5,-38880.3,PORTF,-35221.8,+10.387,+70.600
50,bench_50_2,1,25%,0.2500,187.50,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,25%,0.2500,187.50,750.0,-61156.1,-41652.5,-44750.8,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,25%,0.2500,187.50,750.0,-56164.9,-43772.8,-40739.3,-40739.3,PORTF,-35458.6,+14.892,+58.396
50,bench_50_1,1,33.33%,0.3333,250.00,750.0,-60088.5,-37204.8,-38763.6,-37204.8,PORTF,-35221.8,+5.630,+70.600
50,bench_50_2,1,33.33%,0.3333,250.00,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,33.33%,0.3333,250.00,750.0,-61156.1,-41652.5,-44513.0,-41652.5,PORTF,-39688.3,+4.949,+54.091
50,bench_50_4,1,33.33%,0.3333,250.00,750.0,-56164.9,-38103.7,-40739.3,-38103.7,PORTF,-35458.6,+7.460,+58.396
50,bench_50_1,1,50%,0.5000,375.00,750.0,-60088.5,-37204.8,-38763.6,-37204.8,PORTF,-35221.8,+5.630,+70.600
50,bench_50_2,1,50%,0.5000,375.00,750.0,-70437.4,-43392.3,-39534.3,-39534.3,PORTF,-37492.6,+5.446,+87.870
50,bench_50_3,1,50%,0.5000,375.00,750.0,-61156.1,-41652.5,-44750.8,-41652.5,PORTF,-39688.3,+4.949,+54.091
