timestamp,n,wall_s,solve_s,objective,bound,gap_%,profit,rental,arrival,n_items,n_truck,n_drone,n_rendv,W_final,n_nodes,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
2026-06-18 12:24:35,20,1.0,1.0,-88457.65,-5644.07,93.62,16454.0,104911.65,1443.0763,20,20,0,0,20094.0,0,"[79, 135, 53, 169, 88, 15, 212, 210, 40, 54, 66, 165, 244, 232, 108, 104, 164, 173, 170, 220]","[79, 135, 53, 169, 88, 15, 212, 210, 40, 54, 66, 165, 244, 232, 108, 104, 164, 173, 170, 220]",[],[],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 108, 104, 169, 170, 173, 164, 165, 79, 1]","[(1, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 5020.0), (135, 6022.0), (15, 7031.0), (40, 8035.0), (54, 9042.0), (53, 10047.0), (66, 11051.0), (88, 12055.0), (108, 13064.0), (104, 14070.0), (169, 15076.0), (170, 16079.0), (173, 17083.0), (164, 18087.0), (165, 19089.0), (79, 20094.0), (1, 20094.0)]"
2026-06-18 12:24:39,20,4.5,4.4,-85636.48,-19234.17,77.54,11696.0,97332.48,1338.8236,14,13,0,1,15064.0,69,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173]","[79, 135, 53, 88, 15, 210, 40, 66, 165, 244, 232, 164, 173]",[],[212],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 108, 104, 169, 170, 173, 164, 165, 79, 1]","[(1, 212), (212, 220), (220, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 5021.0), (135, 6023.0), (15, 7032.0), (40, 8036.0), (54, 8036.0), (53, 9041.0), (66, 10045.0), (88, 11049.0), (108, 11049.0), (104, 11049.0), (169, 11049.0), (170, 11049.0), (173, 12053.0), (164, 13057.0), (165, 14059.0), (79, 15064.0), (1, 15064.0)]"
2026-06-18 12:24:39,20,4.6,4.5,-84997.33,-19275.4,77.32,12333.0,97330.33,1338.7941,15,15,0,0,15063.0,70,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 220]","[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 220]",[],[],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 108, 104, 169, 170, 173, 164, 165, 79, 1]","[(1, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 5020.0), (135, 6022.0), (15, 7031.0), (40, 8035.0), (54, 8035.0), (53, 9040.0), (66, 10044.0), (88, 11048.0), (108, 11048.0), (104, 11048.0), (169, 11048.0), (170, 11048.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 15063.0)]"
2026-06-18 12:24:39,20,4.6,4.6,-83842.37,-19329.24,76.95,12524.0,96366.37,1325.5346,15,15,0,0,15063.0,73,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 170]","[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 170]",[],[],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 108, 104, 169, 170, 173, 164, 165, 79, 1]","[(1, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (54, 7032.0), (53, 8037.0), (66, 9041.0), (88, 10045.0), (108, 10045.0), (104, 10045.0), (169, 10045.0), (170, 11048.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 15063.0)]"
2026-06-18 12:24:39,20,5.0,5.0,-82953.37,-19600.23,76.37,13413.0,96366.37,1325.5346,16,14,1,1,16069.0,91,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 170]",[104],[135],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 104), (108, 135), (104, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (54, 7032.0), (53, 8037.0), (66, 9041.0), (88, 10045.0), (169, 10045.0), (170, 11048.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
2026-06-18 12:24:40,20,5.2,5.1,-82681.19,-19606.14,76.29,13413.0,96094.19,1321.7907,16,14,1,1,16069.0,93,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 170]",[104],[135],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 104), (108, 135), (104, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (54, 7032.0), (53, 8037.0), (66, 9041.0), (88, 10045.0), (169, 10045.0), (170, 11048.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
2026-06-18 12:24:40,20,5.2,5.1,-82681.19,-19686.58,76.19,13413.0,96094.19,1321.7907,16,14,1,1,16069.0,97,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 164, 173, 170]",[104],[135],"[1, 244, 232, 210, 212, 220, 135, 15, 40, 54, 53, 66, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 104), (108, 135), (104, 1)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (54, 7032.0), (53, 8037.0), (66, 9041.0), (88, 10045.0), (169, 10045.0), (170, 11048.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
2026-06-18 12:24:42,20,7.6,7.5,-78543.05,-20293.56,74.16,13413.0,91956.05,1264.87,16,9,3,4,16069.0,137,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 15, 212, 210, 165, 244, 232, 164, 170]","[53, 66, 104]","[135, 88, 40, 173]","[1, 244, 232, 210, 212, 220, 135, 15, 40, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 54), (53, 88), (88, 66), (40, 53), (54, 40), (66, 173), (108, 135), (104, 1), (173, 104)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (88, 9041.0), (169, 9041.0), (170, 10044.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
2026-06-18 12:24:42,20,7.8,7.7,-78543.04,-20305.81,74.15,13413.0,91956.04,1264.8699,16,9,3,4,16069.0,142,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 15, 212, 210, 165, 244, 232, 164, 170]","[53, 66, 104]","[135, 88, 40, 173]","[1, 244, 232, 210, 212, 220, 135, 15, 40, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 54), (53, 88), (88, 66), (40, 53), (54, 40), (66, 173), (108, 135), (104, 1), (173, 104)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (210, 3013.0), (212, 4017.0), (220, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (88, 9041.0), (169, 9041.0), (170, 10044.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
2026-06-18 12:24:45,20,10.1,10.0,-78205.65,-20332.2,74.0,13413.0,91618.65,1260.229,16,9,3,4,16069.0,181,"[79, 135, 53, 88, 15, 212, 210, 40, 66, 165, 244, 232, 104, 164, 173, 170]","[79, 15, 212, 210, 165, 244, 232, 164, 170]","[53, 66, 104]","[135, 88, 40, 173]","[1, 244, 232, 220, 212, 210, 135, 15, 40, 88, 169, 170, 173, 164, 165, 79, 1]","[(1, 108), (135, 54), (53, 88), (88, 66), (40, 53), (54, 40), (66, 173), (108, 135), (104, 1), (173, 104)]","[(1, 0.0), (244, 1008.0), (232, 2011.0), (220, 2011.0), (212, 3015.0), (210, 4017.0), (135, 5019.0), (15, 6028.0), (40, 7032.0), (88, 9041.0), (169, 9041.0), (170, 10044.0), (173, 12052.0), (164, 13056.0), (165, 14058.0), (79, 15063.0), (1, 16069.0)]"
