param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
baseline,-,-30367.6626,32311.6626,444.452,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.1,2.0,2006.0,[2],[6],"[2, 5, 1]"
R,1.0,3838.2923,497.7077,497.7077,10.0002,,2,3,3,5,4336.0,1.0,11375.0,0.1,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
R,18.18,-4712.3263,9048.3263,497.7077,10.0002,,2,3,3,5,4336.0,18.18,11375.0,0.1,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
R,36.35,-13674.144,17352.144,477.363,10.0003,,1,3,3,4,3678.0,36.35,11375.0,0.1,2.0,4009.0,[2],"[4, 3, 6]","[2, 5, 1]"
R,72.7,-30367.6626,32311.6626,444.452,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.1,2.0,2006.0,[2],[6],"[2, 5, 1]"
R,145.4,-62000.2,62958.2,433.0,10.0002,,0,1,3,1,958.0,145.4,11375.0,0.1,2.0,1004.0,[],[6],"[2, 5, 1]"
R,290.8,-124958.4,125916.4,433.0,10.0004,,0,1,3,1,958.0,290.8,11375.0,0.1,2.0,1004.0,[],[6],"[2, 5, 1]"
Wcap,0.25x,-30521.1,31479.1,433.0,10.0003,,0,1,3,1,958.0,72.7,2843.75,0.1,2.0,1004.0,[],[6],"[2, 5, 1]"
Wcap,0.5x,-30521.1,31479.1,433.0,10.0002,,0,1,3,1,958.0,72.7,5687.5,0.1,2.0,1004.0,[],[6],"[2, 5, 1]"
Wcap,1.0x,-30367.6626,32311.6626,444.452,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.1,2.0,2006.0,[2],[6],"[2, 5, 1]"
Wcap,2.0x,-28966.7312,33302.7312,458.0843,10.0002,,2,3,3,5,4336.0,72.7,22750.0,0.1,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
Wcap,4.0x,-27976.3395,32312.3395,444.4613,10.0002,,2,3,3,5,4336.0,72.7,45500.0,0.1,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
vmin,0.05,-30418.1402,32362.1402,445.1464,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.05,2.0,2006.0,[2],[6],"[2, 5, 1]"
vmin,0.1,-30367.6626,32311.6626,444.452,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.1,2.0,2006.0,[2],[6],"[2, 5, 1]"
vmin,0.25,-30067.2087,32951.2087,453.2491,10.0002,,1,2,3,3,2884.0,72.7,11375.0,0.25,2.0,3008.0,[2],"[3, 6]","[2, 5, 1]"
vmin,0.5,-29212.7281,33548.7281,461.4681,10.0003,,2,3,3,5,4336.0,72.7,11375.0,0.5,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
vmin,0.9,-27496.5091,31832.5091,437.8612,10.0002,,2,3,3,5,4336.0,72.7,11375.0,0.9,2.0,5015.0,"[2, 5]","[4, 3, 6]","[2, 5, 1]"
vDfact,0.5,-42080.4,43038.4,592.0,10.0005,,0,1,1,1,958.0,72.7,11375.0,0.1,0.5,1004.0,[],[6],[1]
vDfact,1.0,-39168.7146,41860.7146,575.8008,10.0005,,2,1,1,3,2692.0,72.7,11375.0,0.1,1.0,3007.0,"[3, 6]",[4],[1]
vDfact,2.0,-30367.6626,32311.6626,444.452,10.0002,,1,1,3,2,1944.0,72.7,11375.0,0.1,2.0,2006.0,[2],[6],"[2, 5, 1]"
vDfact,3.0,-23413.6141,27749.6141,381.7003,10.0002,,2,3,3,5,4336.0,72.7,11375.0,0.1,3.0,5015.0,"[5, 6]","[4, 3, 2]","[5, 6, 1]"
vDfact,4.0,-20343.65,23227.65,319.5,10.0002,,1,2,3,3,2884.0,72.7,11375.0,0.1,4.0,3008.0,[6],"[3, 2]","[5, 6, 1]"
