param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
baseline,-,-40488.7455,54220.7455,745.8149,20.7488,,9,7,9,16,13732.0,72.7,45501.0,0.1,2.0,16072.0,"[6, 8, 10, 9, 15, 12, 18, 17, 21]","[4, 7, 16, 13, 14, 19, 20]","[2, 3, 8, 9, 15, 12, 17, 21, 1]"
R,1.0,15655.5586,798.4414,798.4414,20.3878,,10,10,10,20,16454.0,1.0,45501.0,0.1,2.0,20094.0,"[2, 3, 6, 8, 10, 16, 12, 18, 17, 21]","[11, 4, 5, 7, 9, 15, 13, 14, 19, 20]","[2, 3, 6, 8, 10, 16, 12, 17, 21, 1]"
R,18.18,1798.896,14655.104,806.1113,20.2212,,10,10,10,20,16454.0,18.18,45501.0,0.1,2.0,20094.0,"[2, 3, 6, 8, 10, 15, 12, 18, 17, 21]","[11, 16, 4, 7, 9, 14, 13, 5, 19, 20]","[2, 3, 6, 8, 10, 15, 12, 17, 21, 1]"
R,36.35,-12676.9054,28743.9054,790.7539,20.6722,,10,9,9,19,16067.0,36.35,45501.0,0.1,2.0,19090.0,"[2, 8, 10, 9, 14, 15, 13, 18, 17, 21]","[11, 6, 4, 7, 16, 12, 5, 19, 20]","[2, 3, 8, 9, 15, 13, 17, 21, 1]"
R,72.7,-41284.2036,55668.2036,765.7249,20.2263,,8,9,10,17,14384.0,72.7,45501.0,0.1,2.0,17079.0,"[8, 9, 15, 16, 12, 18, 17, 21]","[6, 4, 7, 10, 14, 13, 5, 19, 20]","[11, 3, 8, 9, 15, 16, 12, 17, 21, 1]"
R,145.4,-93457.3534,100298.3534,689.8099,20.0296,,5,3,10,8,6841.0,145.4,45501.0,0.1,2.0,8034.0,"[16, 12, 18, 17, 21]","[14, 19, 20]","[11, 3, 5, 8, 10, 16, 12, 18, 21, 1]"
R,290.8,-189649.8493,194629.8493,669.2911,20.574,,3,3,9,6,4980.0,290.8,45501.0,0.1,2.0,6026.0,"[18, 17, 21]","[14, 19, 20]","[2, 3, 6, 9, 15, 12, 18, 21, 1]"
Wcap,0.25x,-46228.6641,49590.6641,682.1274,20.0322,,2,2,10,4,3362.0,72.7,11375.25,0.1,2.0,4016.0,"[17, 21]","[19, 20]","[2, 3, 5, 8, 10, 16, 12, 18, 21, 1]"
Wcap,0.5x,-44369.5986,49505.5986,680.9573,20.2141,,3,3,10,6,5136.0,72.7,22750.5,0.1,2.0,6024.0,"[18, 17, 21]","[16, 19, 20]","[2, 3, 6, 8, 9, 15, 12, 18, 21, 1]"
Wcap,1.0x,-40488.7455,54220.7455,745.8149,20.805,,9,7,9,16,13732.0,72.7,45501.0,0.1,2.0,16072.0,"[6, 8, 10, 9, 15, 12, 18, 17, 21]","[4, 7, 16, 13, 14, 19, 20]","[2, 3, 8, 9, 15, 12, 17, 21, 1]"
