factor,n,instance,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,reheats,evals,vD,W_final,W_capacity,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids
0.0,1,bench_1_1,-41439.0,41439.0,570.0,15.0011,,0,0,0,0,0.0,0.0001,190,1383047,1e-06,0.0,2275.0,[],[],[],"[1, 2, 1]",[]
0.0,5,bench_5_1,-44090.155,45048.155,619.6445,15.0063,,1,0,0,1,958.0,0.0013,50,1094870,1e-06,1004.0,11375.0,[6],[],[],"[1, 5, 2, 4, 3, 6, 1]",[]
0.0,10,bench_10_1,-55451.0451,57981.0451,797.5384,15.0116,,3,0,0,3,2530.0,0.013,24,998671,1e-06,3012.0,22750.0,"[3, 2, 7]",[],[],"[1, 10, 9, 11, 8, 6, 4, 5, 3, 2, 7, 1]",[]
0.0,20,bench_20_1,-57295.3088,66073.3088,908.8488,15.1692,,10,0,0,10,8778.0,0.1988,8,689048,1e-06,10055.0,45501.0,"[16, 9, 10, 7, 8, 6, 5, 4, 11, 2]",[],[],"[1, 21, 20, 17, 18, 19, 13, 12, 16, 15, 14, 9, 10, 7, 8, 6, 5, 4, 3, 11, 2, 1]",[]
0.0,30,bench_30_1,-64707.9024,81007.9024,1114.2765,15.0707,,19,0,0,19,16300.0,0.2055,4,495037,1e-06,19093.0,68251.0,"[21, 19, 13, 14, 15, 11, 12, 10, 9, 8, 16, 18, 17, 7, 6, 30, 5, 4, 3]",[],[],"[1, 2, 31, 27, 29, 28, 25, 26, 24, 23, 22, 20, 21, 19, 13, 14, 15, 11, 12, 10, 9, 8, 16, 18, 17, 7, 6, 30, 5, 4, 3, 1]",[]
0.0,40,bench_40_1,-70104.9753,96743.9753,1330.7287,15.1746,,30,0,0,30,26639.0,0.3439,3,482616,1e-06,30146.0,91001.0,"[35, 32, 28, 29, 23, 24, 26, 20, 19, 25, 14, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 22, 7, 6, 40, 5, 4, 3, 41, 2]",[],[],"[1, 37, 39, 38, 34, 35, 36, 33, 32, 31, 30, 27, 28, 29, 23, 24, 26, 21, 20, 19, 25, 14, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 22, 7, 6, 40, 5, 4, 3, 41, 2, 1]",[]
0.0,50,bench_50_1,-67554.4923,104842.4923,1442.1251,15.7264,,42,0,0,42,37288.0,15.7213,1,293450,1e-06,42193.0,113752.0,"[44, 41, 38, 37, 34, 35, 26, 25, 27, 32, 30, 31, 16, 15, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 47, 46, 45, 48, 3]",[],[],"[1, 2, 51, 43, 44, 40, 41, 42, 39, 38, 37, 36, 33, 34, 35, 26, 25, 27, 32, 30, 31, 16, 15, 17, 18, 19, 20, 12, 13, 14, 11, 10, 9, 8, 23, 22, 21, 29, 28, 24, 7, 6, 4, 5, 50, 49, 47, 46, 45, 48, 3, 1]",[]
0.0,100,bench_100_1,-86118.1525,165805.1525,2280.6761,17.8205,,93,0,0,93,79687.0,17.8198,0,156095,1e-06,93379.0,227504.0,"[2, 90, 89, 87, 85, 86, 84, 94, 93, 92, 96, 97, 95, 77, 76, 79, 78, 83, 82, 81, 54, 53, 52, 51, 98, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 22, 21, 26, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3]",[],[],"[1, 2, 101, 90, 89, 88, 87, 91, 85, 86, 84, 94, 93, 92, 96, 97, 95, 77, 76, 79, 78, 83, 82, 81, 80, 56, 55, 54, 53, 52, 51, 98, 11, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 22, 21, 26, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3, 1]",[]
0.5,1,bench_1_1,-41439.0,41439.0,570.0,15.0026,,0,0,0,0,0.0,0.0001,108,791611,0.5,0.0,2275.0,[],[],[],"[1, 2, 1]",[]
0.5,5,bench_5_1,-42080.4,43038.4,592.0,15.0017,,0,1,1,1,958.0,0.0021,55,1202438,0.5,1004.0,11375.0,[],[6],[1],"[1, 2, 4, 3, 5, 1]","[(1, 6), (6, 1)]"
