factor,n,instance,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,reheats,evals,vD,W_final,W_capacity,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids
0.0,1,bench_1_1,-41439.0,41439.0,570.0,2.0001,,0,0,0,0,0.0,0.0001,91,666102,1e-06,0.0,2275.0,[],[],[],"[1, 2, 1]",[]
0.0,5,bench_5_1,-44090.155,45048.155,619.6445,2.001,,1,0,0,1,958.0,0.0007,23,520775,1e-06,1004.0,11375.0,[6],[],[],"[1, 5, 2, 4, 3, 6, 1]",[]
0.0,10,bench_10_1,-55451.0451,57981.0451,797.5384,2.0047,,3,0,0,3,2530.0,0.006,9,379781,1e-06,3012.0,22750.0,"[3, 2, 7]",[],[],"[1, 10, 9, 11, 8, 6, 4, 5, 3, 2, 7, 1]",[]
0.5,1,bench_1_1,-41439.0,41439.0,570.0,2.0061,,0,0,0,0,0.0,0.0,87,636444,0.5,0.0,2275.0,[],[],[],"[1, 2, 1]",[]
0.5,5,bench_5_1,-42080.4,43038.4,592.0,2.0006,,0,1,1,1,958.0,0.0027,23,520517,0.5,1004.0,11375.0,[],[6],[1],"[1, 2, 4, 3, 5, 1]","[(1, 6), (6, 1)]"
0.5,10,bench_10_1,-50373.0582,54027.0582,743.1507,2.0033,,3,1,1,4,3654.0,0.1054,10,421237,0.5,4011.0,22750.0,"[8, 11, 10]",[9],[1],"[1, 7, 2, 3, 5, 4, 6, 8, 11, 10, 1]","[(7, 9), (9, 1)]"
1.0,1,bench_1_1,-40645.0,41439.0,570.0,2.0001,,0,1,1,1,794.0,0.0,85,624175,1.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
1.0,5,bench_5_1,-39168.7146,41860.7146,575.8008,2.0005,,2,1,1,3,2692.0,0.0095,23,511953,1.0,3007.0,11375.0,"[3, 6]",[4],[1],"[1, 5, 2, 3, 6, 1]","[(1, 4), (4, 1)]"
1.0,10,bench_10_1,-45579.6434,51945.6434,714.5205,2.0063,,4,3,3,7,6366.0,2.0062,9,378376,1.0,7016.0,22750.0,"[4, 8, 11, 10]","[5, 6, 9]","[4, 11, 1]","[1, 7, 2, 3, 4, 8, 11, 10, 1]","[(1, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]"
2.0,1,bench_1_1,-19925.5,20719.5,285.0,2.0001,,0,1,1,1,794.0,0.0,86,626507,2.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
2.0,5,bench_5_1,-30367.6626,32311.6626,444.452,2.0002,-0.0001,1,1,3,2,1944.0,0.0019,19,416168,2.0,2006.0,11375.0,[2],[6],"[2, 5, 1]","[1, 2, 5, 1]","[(1, 4), (4, 2), (2, 3), (3, 5), (5, 6), (6, 1)]"
2.0,10,bench_10_1,-37643.0869,42484.0869,584.3753,2.0037,,3,2,5,5,4841.0,1.643,4,199013,2.0,5011.0,22750.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]"
3.0,1,bench_1_1,-13019.0,13813.0,190.0,2.0001,,0,1,1,1,794.0,0.0,76,553017,3.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
3.0,5,bench_5_1,-23413.6141,27749.6141,381.7003,2.0002,,2,3,3,5,4336.0,0.0018,17,391682,3.0,5015.0,11375.0,"[5, 6]","[4, 3, 2]","[5, 6, 1]","[1, 5, 6, 1]","[(1, 4), (4, 5), (5, 3), (3, 6), (6, 2), (2, 1)]"
3.0,10,bench_10_1,-36400.1376,41918.1376,576.5906,2.004,,3,3,5,6,5518.0,2.0039,7,301665,3.0,6017.0,22750.0,"[8, 11, 10]","[3, 6, 9]","[7, 2, 8, 10, 1]","[1, 7, 2, 8, 11, 10, 1]","[(1, 4), (4, 7), (7, 5), (5, 2), (2, 3), (3, 8), (8, 6), (6, 10), (10, 9), (9, 1)]"
