method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
VNS,5,6,bench_5_1,ok,-30367.6626,81.5667,10.0001,2,1,1,3,1944.0,32311.6626,444.452,2006.0,11375.0,5015.0,2283430,0.0036,"[2, 6]",[2],[6],"[2, 5, 1]","[1, 2, 5, 1]","[(1, 4), (4, 2), (2, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (2, 0.0), (5, 1002.0), (1, 1002.0)]"
VNS,5,6,bench_5_2,ok,-35349.6,111.3534,10.0,1,0,1,3,855.0,36204.6,498.0,1006.0,11375.0,5032.0,2455697,0.0052,[6],[],[6],"[4, 2, 1]","[1, 4, 2, 1]","[(1, 5), (5, 4), (4, 3), (3, 2), (2, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (2, 0.0), (1, 0.0)]"
VNS,5,6,bench_5_3,ok,-27075.2,61.8812,10.0,3,1,2,3,2441.0,29516.2,406.0,3017.0,11375.0,5030.0,2282815,0.0052,"[6, 2, 5]",[6],"[2, 5]","[3, 6, 1]","[1, 3, 6, 1]","[(1, 4), (4, 3), (3, 2), (2, 6), (6, 5), (5, 1)]","[(1, 0.0), (3, 0.0), (6, 0.0), (1, 2009.0)]"
VNS,5,6,bench_5_4,ok,-29738.1319,77.8027,10.0,2,0,2,3,1870.0,31608.1319,434.7749,2010.0,11375.0,5025.0,2333397,0.0422,"[3, 6]",[],"[3, 6]","[4, 5, 1]","[1, 4, 5, 1]","[(1, 2), (2, 4), (4, 3), (3, 5), (5, 6), (6, 1)]","[(1, 0.0), (4, 0.0), (5, 0.0), (1, 1003.0)]"
VNS,5,6,bench_5_5,ok,-16725.35,0.0,10.0,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,2123820,0.115,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
VNS,10,8,bench_10_1,ok,-37643.0869,36.918,30.0001,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,4591076,0.2611,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
VNS,10,8,bench_10_2,ok,-38915.5372,41.5462,30.0001,5,2,3,5,4211.0,43126.5372,593.2123,5026.0,22750.0,10050.0,4612329,0.1168,"[5, 2, 6, 9, 11]","[5, 2]","[6, 9, 11]","[10, 4, 3, 2, 1]","[1, 10, 4, 5, 3, 2, 1]","[(1, 8), (8, 10), (10, 7), (7, 4), (4, 6), (6, 3), (3, 9), (9, 2), (2, 11), (11, 1)]","[(1, 0.0), (10, 0.0), (4, 0.0), (5, 0.0), (3, 1009.0), (2, 2010.0), (1, 4020.0)]"
VNS,10,8,bench_10_3,ok,-28382.9589,3.2364,30.0,10,5,5,5,7897.0,36279.9589,499.0366,10056.0,22750.0,10056.0,4831910,0.5157,"[2, 6, 5, 7, 11, 10, 4, 3, 8, 9]","[2, 6, 5, 7, 11]","[10, 4, 3, 8, 9]","[2, 5, 7, 11, 1]","[1, 2, 6, 5, 7, 11, 1]","[(1, 10), (10, 2), (2, 4), (4, 5), (5, 3), (3, 7), (7, 8), (8, 11), (11, 9), (9, 1)]","[(1, 0.0), (2, 0.0), (6, 2010.0), (5, 3016.0), (7, 5033.0), (11, 7049.0), (1, 9056.0)]"
VNS,10,8,bench_10_4,ok,-36395.6646,32.3808,30.0001,7,4,3,4,6408.0,42803.6646,588.7712,7031.0,22750.0,10043.0,5067604,8.5374,"[7, 9, 10, 11, 6, 4, 8]","[7, 9, 10, 11]","[6, 4, 8]","[3, 7, 9, 1]","[1, 2, 3, 7, 9, 10, 11, 1]","[(1, 6), (6, 3), (3, 5), (5, 7), (7, 4), (4, 9), (9, 8), (8, 1)]","[(1, 0.0), (2, 0.0), (3, 0.0), (7, 1000.0), (9, 2003.0), (10, 4019.0), (11, 5023.0), (1, 6030.0)]"
VNS,10,8,bench_10_5,ok,-32684.6289,18.8827,30.0001,7,4,3,4,6155.0,38839.6289,534.2452,7038.0,22750.0,10055.0,5094270,0.5471,"[6, 7, 2, 11, 4, 3, 10]","[6, 7, 2, 11]","[4, 3, 10]","[8, 6, 11, 1]","[1, 9, 8, 6, 7, 2, 11, 1]","[(1, 5), (5, 8), (8, 4), (4, 6), (6, 3), (3, 11), (11, 10), (10, 1)]","[(1, 0.0), (9, 0.0), (8, 0.0), (6, 0.0), (7, 2012.0), (2, 3018.0), (11, 4022.0), (1, 6036.0)]"
VNS,15,0,bench_15_1,ok,-36385.6115,-0.0002,120.0009,11,6,5,7,9094.0,45479.6115,625.5793,11051.0,34126.0,15068.0,6510390,10.5233,"[9, 6, 10, 4, 3, 2, 8, 7, 13, 5, 15]","[9, 6, 10, 4, 3, 2]","[8, 7, 13, 5, 15]","[16, 12, 9, 6, 4, 2, 1]","[1, 16, 12, 9, 6, 10, 4, 3, 2, 1]","[(1, 11), (11, 16), (16, 14), (14, 12), (12, 8), (8, 9), (9, 7), (7, 6), (6, 13), (13, 4), (4, 5), (5, 2), (2, 15), (15, 1)]","[(1, 0.0), (16, 0.0), (12, 0.0), (9, 0.0), (6, 2018.0), (10, 4021.0), (4, 5026.0), (3, 7039.0), (2, 8040.0), (1, 10049.0)]"
