method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
VNS,ttd300,10,3,0.25,75.0,300.0,ttd300_n10_L3_f025,0,ok,-46605.8455,2865.0,49470.8455,989.4169,120.0002,0.0146,3,3,0,0,3017.0,22750.0,53078450,,
VNS,ttd300,10,4,0.25,63.0,252.0,ttd300_n10_L4_f025,0,ok,-39204.872,3311.0,42515.872,850.3174,120.0,0.0155,4,4,0,0,4020.0,22750.0,54707101,,
VNS,ttd300,10,2,0.25,68.0,270.0,ttd300_n10_L2_f025,0,ok,-35485.5482,4690.0,40175.5482,803.511,120.0,8.3442,5,4,1,1,5017.0,22750.0,46750626,,
VNS,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,0,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0,0.0161,5,5,0,0,5020.0,22750.0,53088113,,
VNS,ttd300,10,5,0.25,70.0,278.0,ttd300_n10_L5_f025,0,ok,-43130.5484,4423.0,47553.5484,951.071,120.0,0.0033,5,5,0,0,5027.0,22750.0,54177619,,
VNS,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,0,ok,-41253.16,4327.0,45580.16,911.6032,120.0,1.1427,5,3,2,2,5024.0,22750.0,45413302,,
VNS,ttd300,10,2,0.5,135.0,270.0,ttd300_n10_L2_f050,0,ok,-31974.7911,5293.0,37267.7911,745.3558,120.0,0.5552,6,4,2,2,6025.0,22750.0,42252857,,
VNS,ttd300,10,3,0.5,150.0,300.0,ttd300_n10_L3_f050,0,ok,-43655.7454,3520.0,47175.7454,943.5149,120.0,0.6763,4,2,2,3,4014.0,22750.0,43910740,,
VNS,ttd300,10,4,0.5,126.0,252.0,ttd300_n10_L4_f050,0,ok,-36633.872,4132.0,40765.872,815.3174,120.0,0.0719,5,4,1,1,5029.0,22750.0,44180077,,
VNS,ttd300,10,5,0.5,139.0,278.0,ttd300_n10_L5_f050,0,ok,-38700.5448,3882.0,42582.5448,851.6509,120.0,0.745,5,4,1,2,5018.0,22750.0,42190363,,
VNS,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,0,ok,-35402.3673,7023.0,42425.3673,848.5073,120.0,0.1642,8,4,4,5,8043.0,22750.0,36563804,,
VNS,ttd300,10,2,0.75,202.0,270.0,ttd300_n10_L2_f075,0,ok,-30081.8141,6153.0,36234.8141,724.6963,120.0,17.3193,7,3,4,4,7033.0,22750.0,39620697,,
VNS,ttd300,10,3,0.75,225.0,300.0,ttd300_n10_L3_f075,0,ok,-39634.0283,3861.0,43495.0283,869.9006,120.0002,0.3036,4,1,3,4,4017.0,22750.0,37445151,,
VNS,ttd300,10,4,0.75,189.0,252.0,ttd300_n10_L4_f075,0,ok,-23642.3451,6137.0,29779.3451,595.5869,120.0,44.3778,8,3,5,5,8033.0,22750.0,38136706,,
