n,instance,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,winner,SA_full_best,BEST_REF,LISA_gap_vs_BESTREF_%,SA_full_gap_vs_BESTREF_%,portfolio_vs_SAfull_%
10,ttd300_n10_L1_f025,10%,0.1000,12.00,120.0,-45243.2,-45243.2,-45243.2,-45243.2,PORTF,-45243.2,-45243.2,0.000,0.000,-0.000
10,ttd300_n10_L1_f050,10%,0.1000,12.00,120.0,-41253.2,-41253.2,-41253.2,-41253.2,PORTF,-41253.2,-41253.2,0.000,0.000,-0.000
10,ttd300_n10_L1_f075,10%,0.1000,12.00,120.0,-34623.1,-34623.1,-34623.1,-34623.1,PORTF,-34623.1,-34623.1,-0.000,0.000,+0.000
10,ttd300_n10_L1_f100,10%,0.1000,12.00,120.0,-29669.8,-30126.9,-29669.8,-29669.8,PORTF,-29669.8,-29669.8,0.000,0.000,-0.000
10,ttd300_n10_L2_f025,10%,0.1000,12.00,120.0,-35485.5,-35485.5,-35485.5,-35485.5,PORTF,-35485.5,-35485.5,-0.000,0.000,+0.000
10,ttd300_n10_L2_f050,10%,0.1000,12.00,120.0,-31974.8,-31974.8,-31974.8,-31974.8,PORTF,-31974.8,-31974.8,0.000,0.000,-0.000
10,ttd300_n10_L2_f075,10%,0.1000,12.00,120.0,-30076.4,-30076.4,-30076.4,-30076.4,PORTF,-30076.4,-30076.4,0.000,0.000,-0.000
10,ttd300_n10_L2_f100,10%,0.1000,12.00,120.0,-21359.9,-21359.9,-21359.9,-21359.9,PORTF,-21359.9,-21359.9,-0.000,0.000,+0.000
10,ttd300_n10_L3_f025,10%,0.1000,12.00,120.0,-46605.8,-46605.8,-46605.8,-46605.8,PORTF,-46605.8,-46605.8,-0.000,0.000,+0.000
10,ttd300_n10_L3_f050,10%,0.1000,12.00,120.0,-43655.7,-43732.9,-43655.7,-43655.7,PORTF,-43655.7,-43655.7,-0.000,0.000,+0.000
10,ttd300_n10_L3_f075,10%,0.1000,12.00,120.0,-39634.0,-39634.0,-39634.0,-39634.0,PORTF,-39634.0,-39634.0,-0.000,0.000,+0.000
10,ttd300_n10_L3_f100,10%,0.1000,12.00,120.0,-27048.6,-27048.6,-27048.6,-27048.6,PORTF,-27048.6,-27048.6,-0.000,0.000,+0.000
10,ttd300_n10_L4_f025,10%,0.1000,12.00,120.0,-39204.9,-39204.9,-39204.9,-39204.9,PORTF,-39204.9,-39204.9,0.000,0.000,-0.000
10,ttd300_n10_L4_f050,10%,0.1000,12.00,120.0,-36633.9,-36633.9,-36633.9,-36633.9,PORTF,-36633.9,-36633.9,0.000,0.000,-0.000
10,ttd300_n10_L4_f075,10%,0.1000,12.00,120.0,-23642.3,-23642.3,-23642.3,-23642.3,PORTF,-23642.3,-23642.3,-0.000,0.000,+0.000
10,ttd300_n10_L4_f100,10%,0.1000,12.00,120.0,-21573.4,-21573.4,-21573.4,-21573.4,PORTF,-21573.4,-21573.4,0.000,0.000,-0.000
10,ttd300_n10_L5_f025,10%,0.1000,12.00,120.0,-43130.5,-43130.5,-43130.5,-43130.5,PORTF,-43130.5,-43130.5,-0.000,0.000,+0.000
10,ttd300_n10_L5_f050,10%,0.1000,12.00,120.0,-38700.5,-38700.5,-38700.5,-38700.5,PORTF,-38700.5,-38700.5,-0.000,0.000,+0.000
10,ttd300_n10_L5_f075,10%,0.1000,12.00,120.0,-31116.3,-31116.3,-31116.3,-31116.3,PORTF,-31116.3,-31116.3,-0.000,0.000,+0.000
10,ttd300_n10_L5_f100,10%,0.1000,12.00,120.0,-29298.4,-29298.4,-29298.4,-29298.4,PORTF,-29298.4,-29298.4,-0.000,0.000,+0.000
20,ttd300_n20_L1_f025,10%,0.1000,30.00,300.0,-64192.2,-54904.8,-56608.6,-54904.8,PORTF,-54904.8,-54904.8,0.000,0.000,-0.000
20,ttd300_n20_L1_f050,10%,0.1000,30.00,300.0,-58035.3,-49469.1,-48857.2,-48857.2,PORTF,-48705.0,-48705.0,0.313,0.000,-0.313
20,ttd300_n20_L1_f075,10%,0.1000,30.00,300.0,-29757.1,-29438.9,-29051.0,-29051.0,PORTF,-29438.9,-29438.9,-1.318,0.000,+1.318
20,ttd300_n20_L1_f100,10%,0.1000,30.00,300.0,-36837.3,-29183.7,-29525.2,-29183.7,PORTF,-27953.1,-27599.2,5.741,1.282,-4.402
20,ttd300_n20_L2_f025,10%,0.1000,30.00,300.0,-43091.4,-40569.4,-41008.1,-40569.4,PORTF,-40569.4,-40569.4,0.000,0.000,-0.000
20,ttd300_n20_L2_f050,10%,0.1000,30.00,300.0,-31111.1,-28807.5,-28686.4,-28686.4,PORTF,-28686.4,-28686.4,0.000,0.000,-0.000
20,ttd300_n20_L2_f075,10%,0.1000,30.00,300.0,-23106.8,-23459.3,-23012.4,-23012.4,PORTF,-23459.3,-23459.3,-1.905,0.000,+1.905
20,ttd300_n20_L2_f100,10%,0.1000,30.00,300.0,-22965.4,-22902.3,-22902.3,-22902.3,PORTF,-23249.1,-22887.9,0.063,1.578,+1.491
20,ttd300_n20_L3_f025,10%,0.1000,30.00,300.0,-58223.2,-56996.5,-57047.8,-56996.5,PORTF,-56881.5,-56881.5,0.202,0.000,-0.202
20,ttd300_n20_L3_f050,10%,0.1000,30.00,300.0,-43654.3,-41452.9,-41135.0,-41135.0,PORTF,-40664.7,-40664.7,1.157,0.000,-1.157
20,ttd300_n20_L3_f075,10%,0.1000,30.00,300.0,-32941.4,-30345.6,-31528.7,-30345.6,PORTF,-30382.5,-29807.7,1.805,1.928,+0.121
20,ttd300_n20_L3_f100,10%,0.1000,30.00,300.0,-30325.9,-29434.5,-29146.7,-29146.7,PORTF,-29489.4,-27853.9,4.641,5.872,+1.162
20,ttd300_n20_L4_f025,10%,0.1000,30.00,300.0,-49423.0,-48586.3,-48586.3,-48586.3,PORTF,-48586.3,-48586.3,-0.000,0.000,+0.000
20,ttd300_n20_L4_f050,10%,0.1000,30.00,300.0,-37349.7,-34941.1,-34941.1,-34941.1,PORTF,-34941.1,-34941.1,-0.000,0.000,+0.000
20,ttd300_n20_L4_f075,10%,0.1000,30.00,300.0,-29243.0,-26449.8,-28405.0,-26449.8,PORTF,-27102.9,-26938.0,-1.812,0.612,+2.410
20,ttd300_n20_L4_f100,10%,0.1000,30.00,300.0,-29296.0,-31370.1,-28405.0,-28405.0,PORTF,-26202.3,-26202.3,8.407,0.000,-8.407
20,ttd300_n20_L5_f025,10%,0.1000,30.00,300.0,-56457.3,-56990.7,-55812.9,-55812.9,PORTF,-55473.1,-55473.1,0.612,0.000,-0.612
20,ttd300_n20_L5_f050,10%,0.1000,30.00,300.0,-53508.2,-45490.4,-44143.3,-44143.3,PORTF,-43488.6,-43488.6,1.505,0.000,-1.505
20,ttd300_n20_L5_f075,10%,0.1000,30.00,300.0,-34297.1,-32898.7,-33406.6,-32898.7,PORTF,-32898.7,-32898.7,-0.000,0.000,+0.000
20,ttd300_n20_L5_f100,10%,0.1000,30.00,300.0,-53933.1,-29856.4,-29565.1,-29565.1,PORTF,-29565.1,-29565.1,0.000,0.000,-0.000
30,ttd300_n30_L1_f025,10%,0.1000,45.00,450.0,-60270.7,-55362.8,-54299.6,-54299.6,PORTF,-52332.8,-52332.8,3.758,0.000,-3.758
30,ttd300_n30_L1_f050,10%,0.1000,45.00,450.0,-60547.8,-38708.9,-39391.4,-38708.9,PORTF,-35861.6,-35861.6,7.940,0.000,-7.940
30,ttd300_n30_L1_f075,10%,0.1000,45.00,450.0,-58272.1,-36078.4,-32117.1,-32117.1,PORTF,-30520.1,-29716.9,8.077,2.703,-5.233
30,ttd300_n30_L1_f100,10%,0.1000,45.00,450.0,-47784.2,-33766.4,-30845.9,-30845.9,PORTF,-29291.5,-29094.9,6.018,0.676,-5.307
30,ttd300_n30_L2_f025,10%,0.1000,45.00,450.0,-48023.8,-45537.6,-46059.4,-45537.6,PORTF,-42801.8,-42801.8,6.392,0.000,-6.392
30,ttd300_n30_L2_f050,10%,0.1000,45.00,450.0,-47674.0,-39890.0,-40196.4,-39890.0,PORTF,-37732.8,-37732.8,5.717,0.000,-5.717
