method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats
SA,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.005,0.0883,5,5,0,0,5020.0,22750.0,23250616,581
SA,ttd300,10,2,0.25,68.0,270.0,ttd300_n10_L2_f025,1,ok,-35485.5482,4690.0,40175.5482,803.511,120.0028,0.5712,5,4,1,1,5017.0,22750.0,22591879,564
SA,ttd300,10,3,0.25,75.0,300.0,ttd300_n10_L3_f025,1,ok,-46605.8455,2865.0,49470.8455,989.4169,120.0069,0.0768,3,3,0,0,3017.0,22750.0,22756460,568
SA,ttd300,10,4,0.25,63.0,252.0,ttd300_n10_L4_f025,1,ok,-39204.872,3311.0,42515.872,850.3174,120.0047,0.1012,4,4,0,0,4020.0,22750.0,22069530,551
SA,ttd300,10,5,0.25,70.0,278.0,ttd300_n10_L5_f025,1,ok,-43130.5484,4423.0,47553.5484,951.071,120.0059,0.0044,5,5,0,0,5027.0,22750.0,20904582,522
SA,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0059,0.1152,5,3,2,2,5024.0,22750.0,20085852,502
SA,ttd300,10,2,0.5,135.0,270.0,ttd300_n10_L2_f050,1,ok,-31974.7911,5293.0,37267.7911,745.3558,120.0027,0.6231,6,4,2,2,6025.0,22750.0,18295454,457
SA,ttd300,10,3,0.5,150.0,300.0,ttd300_n10_L3_f050,1,ok,-43655.7454,3520.0,47175.7454,943.5149,120.0021,0.61,4,2,2,3,4014.0,22750.0,20113880,502
SA,ttd300,10,4,0.5,126.0,252.0,ttd300_n10_L4_f050,1,ok,-36633.872,4132.0,40765.872,815.3174,120.0028,0.3154,5,4,1,1,5029.0,22750.0,21797262,544
SA,ttd300,10,5,0.5,139.0,278.0,ttd300_n10_L5_f050,1,ok,-38700.5448,3882.0,42582.5448,851.6509,120.0025,0.1317,5,4,1,2,5018.0,22750.0,19920751,497
SA,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.0027,0.1389,7,4,3,4,7036.0,22750.0,13861328,346
SA,ttd300,10,2,0.75,202.0,270.0,ttd300_n10_L2_f075,1,ok,-30076.3908,6060.0,36136.3908,722.7278,120.0021,0.1603,7,4,3,4,7027.0,22750.0,15192365,379
SA,ttd300,10,3,0.75,225.0,300.0,ttd300_n10_L3_f075,1,ok,-39634.0283,3861.0,43495.0283,869.9006,120.0023,0.1815,4,1,3,4,4017.0,22750.0,18310896,457
SA,ttd300,10,4,0.75,189.0,252.0,ttd300_n10_L4_f075,1,ok,-23642.3451,6137.0,29779.3451,595.5869,120.0016,0.0994,8,3,5,5,8033.0,22750.0,15994262,399
SA,ttd300,10,5,0.75,208.0,278.0,ttd300_n10_L5_f075,1,ok,-31116.3078,5567.0,36683.3078,733.6662,120.0017,0.1295,7,4,3,5,7035.0,22750.0,17241434,430
SA,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0025,4.1064,9,4,5,5,9048.0,22750.0,16981284,424
SA,ttd300,10,2,1.0,270.0,270.0,ttd300_n10_L2_f100,1,ok,-21359.9423,7851.0,29210.9423,584.2188,120.0024,1.7282,9,5,4,5,9042.0,22750.0,17596909,439
SA,ttd300,10,3,1.0,300.0,300.0,ttd300_n10_L3_f100,1,ok,-27048.6463,6323.0,33371.6463,667.4329,120.0027,25.33,7,4,3,5,7025.0,22750.0,17669679,441
SA,ttd300,10,4,1.0,252.0,252.0,ttd300_n10_L4_f100,1,ok,-21573.3511,6216.0,27789.3511,555.787,120.0027,0.1337,8,4,4,5,8044.0,22750.0,16199748,404
SA,ttd300,10,5,1.0,278.0,278.0,ttd300_n10_L5_f100,1,ok,-29298.4085,5567.0,34865.4085,697.3082,120.0029,0.1617,7,4,3,5,7035.0,22750.0,16362826,408
SA,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0212,4.4248,15,10,5,6,15059.0,45501.0,34253953,447
SA,ttd300,20,2,0.25,75.0,299.0,ttd300_n20_L2_f025,1,ok,-40569.3593,13934.0,54503.3593,1090.0672,300.0211,41.6865,16,11,5,5,16092.0,45501.0,32972170,431
SA,ttd300,20,3,0.25,89.0,357.0,ttd300_n20_L3_f025,1,ok,-56881.5195,11564.0,68445.5195,1368.9104,300.0262,9.3595,13,12,1,2,13062.0,45501.0,37277045,487
SA,ttd300,20,4,0.25,82.0,328.0,ttd300_n20_L4_f025,1,ok,-48586.3479,11420.0,60006.3479,1200.127,300.0304,1.7846,13,12,1,4,13077.0,45501.0,34260679,448
SA,ttd300,20,5,0.25,90.0,360.0,ttd300_n20_L5_f025,1,ok,-55473.1357,10424.0,65897.1357,1317.9427,300.0235,19.177,12,10,2,4,12046.0,45501.0,34302481,448
SA,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-48704.9604,14158.0,62862.9604,1257.2592,300.1452,300.1443,16,9,7,8,16068.0,45501.0,31894099,416
SA,ttd300,20,2,0.5,150.0,299.0,ttd300_n20_L2_f050,1,ok,-28686.359,14550.0,43236.359,864.7272,300.0535,11.5507,17,11,6,7,17100.0,45501.0,31170560,407
SA,ttd300,20,3,0.5,178.0,357.0,ttd300_n20_L3_f050,1,ok,-40664.688,12545.0,53209.688,1064.1938,300.0831,144.3627,14,8,6,9,14063.0,45501.0,32084959,419
SA,ttd300,20,4,0.5,164.0,328.0,ttd300_n20_L4_f050,1,ok,-34941.137,14553.0,49494.137,989.8827,300.1237,25.4496,18,10,8,9,18101.0,45501.0,31500124,411
SA,ttd300,20,5,0.5,180.0,360.0,ttd300_n20_L5_f050,1,ok,-43488.5898,12692.0,56180.5898,1123.6118,300.0828,55.9529,15,8,7,9,15067.0,45501.0,31926504,417
SA,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-29438.8579,17523.0,46961.8579,939.2372,300.5389,300.5384,20,11,9,9,20078.0,45501.0,21344122,278
SA,ttd300,20,2,0.75,224.0,299.0,ttd300_n20_L2_f075,1,ok,-23459.2518,16811.0,40270.2518,805.405,300.1006,300.0994,20,10,10,10,20106.0,45501.0,21129163,275
SA,ttd300,20,3,0.75,268.0,357.0,ttd300_n20_L3_f075,1,ok,-30382.4602,17694.0,48076.4602,961.5292,300.847,300.8222,20,11,9,9,20089.0,45501.0,18409591,240
SA,ttd300,20,4,0.75,246.0,328.0,ttd300_n20_L4_f075,1,ok,-27102.8693,15139.0,42241.8693,844.8374,300.0356,206.1033,18,8,10,10,18098.0,45501.0,13621395,177
SA,ttd300,20,5,0.75,270.0,360.0,ttd300_n20_L5_f075,1,ok,-32898.7142,14832.0,47730.7142,954.6143,300.3877,225.1231,18,10,8,9,18076.0,45501.0,20534969,267
SA,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-27953.0771,17523.0,45476.0771,909.5215,300.1623,252.9305,20,14,6,6,20078.0,45501.0,14421177,187
SA,ttd300,20,2,1.0,299.0,299.0,ttd300_n20_L2_f100,1,ok,-23249.0526,16026.0,39275.0526,785.5011,300.4794,300.4784,19,10,9,9,19101.0,45501.0,17780143,231
SA,ttd300,20,3,1.0,357.0,357.0,ttd300_n20_L3_f100,1,ok,-29489.4176,15273.0,44762.4176,895.2484,301.4568,266.7634,17,12,5,7,17081.0,45501.0,17391657,226
