method,n,layout,frac,instance,ED,beam,objective,time_s
GAT,10,1,f025,ttd300_n10_L1_f025,76.0,256,-45243.1965,28.0915
GAT,10,2,f025,ttd300_n10_L2_f025,68.0,256,-35855.9083,26.3178
GAT,10,3,f025,ttd300_n10_L3_f025,75.0,256,-46707.2706,29.0491
GAT,10,4,f025,ttd300_n10_L4_f025,63.0,256,-39204.872,28.1672
GAT,10,5,f025,ttd300_n10_L5_f025,70.0,256,-43130.5484,29.3602
GAT,10,1,f050,ttd300_n10_L1_f050,153.0,256,-42297.5924,26.577
GAT,10,2,f050,ttd300_n10_L2_f050,135.0,256,-31974.7911,26.1508
GAT,10,3,f050,ttd300_n10_L3_f050,150.0,256,-43800.7035,22.8652
GAT,10,4,f050,ttd300_n10_L4_f050,126.0,256,-36633.872,27.4552
GAT,10,5,f050,ttd300_n10_L5_f050,139.0,256,-38850.3405,26.6626
GAT,10,1,f075,ttd300_n10_L1_f075,230.0,256,-35709.5341,24.6797
GAT,10,2,f075,ttd300_n10_L2_f075,202.0,256,-31974.7911,26.01
GAT,10,3,f075,ttd300_n10_L3_f075,225.0,256,-41256.1645,30.0827
GAT,10,4,f075,ttd300_n10_L4_f075,189.0,256,-24058.456,23.5846
GAT,10,5,f075,ttd300_n10_L5_f075,208.0,256,-31184.7694,23.5896
GAT,10,1,f100,ttd300_n10_L1_f100,306.0,256,-31759.9262,22.2246
GAT,10,2,f100,ttd300_n10_L2_f100,270.0,256,-22233.4961,17.9312
GAT,10,3,f100,ttd300_n10_L3_f100,300.0,256,-29571.9181,20.0001
GAT,10,4,f100,ttd300_n10_L4_f100,252.0,256,-22876.6113,16.1526
GAT,10,5,f100,ttd300_n10_L5_f100,278.0,256,-29534.7694,17.2971
GAT,20,1,f025,ttd300_n20_L1_f025,96.0,256,-61159.7837,64.1513
GAT,20,2,f025,ttd300_n20_L2_f025,75.0,256,-42921.9964,65.3479
GAT,20,3,f025,ttd300_n20_L3_f025,89.0,256,-58713.6146,62.0072
GAT,20,4,f025,ttd300_n20_L4_f025,82.0,256,-50447.1476,63.8696
GAT,20,5,f025,ttd300_n20_L5_f025,90.0,256,-58300.685,63.3402
GAT,20,1,f050,ttd300_n20_L1_f050,192.0,256,-57302.7202,74.3021
GAT,20,2,f050,ttd300_n20_L2_f050,150.0,256,-35998.2354,64.0073
GAT,20,3,f050,ttd300_n20_L3_f050,178.0,256,-47690.7865,71.0905
GAT,20,4,f050,ttd300_n20_L4_f050,164.0,256,-37244.0992,61.3104
GAT,20,5,f050,ttd300_n20_L5_f050,180.0,256,-47029.4823,66.0681
GAT,20,1,f075,ttd300_n20_L1_f075,288.0,256,-38429.6894,83.4157
GAT,20,2,f075,ttd300_n20_L2_f075,224.0,256,-30337.3436,73.4875
GAT,20,3,f075,ttd300_n20_L3_f075,268.0,256,-39083.2269,78.3798
GAT,20,4,f075,ttd300_n20_L4_f075,246.0,256,-31420.9919,72.319
GAT,20,5,f075,ttd300_n20_L5_f075,270.0,256,-42509.7609,72.236
GAT,20,1,f100,ttd300_n20_L1_f100,384.0,256,-35543.9639,87.7944
GAT,20,2,f100,ttd300_n20_L2_f100,299.0,256,-28818.8686,79.7463
GAT,20,3,f100,ttd300_n20_L3_f100,357.0,256,-36817.9522,78.0582
GAT,20,4,f100,ttd300_n20_L4_f100,328.0,256,-31420.9919,74.0272
GAT,20,5,f100,ttd300_n20_L5_f100,360.0,256,-37481.3165,78.9723
GAT,30,1,f025,ttd300_n30_L1_f025,94.0,256,-58338.4596,109.9642
GAT,30,2,f025,ttd300_n30_L2_f025,93.0,256,-50961.3917,97.4931
GAT,30,3,f025,ttd300_n30_L3_f025,80.0,256,-53288.8049,96.5259
GAT,30,4,f025,ttd300_n30_L4_f025,87.0,256,-53082.0259,102.9846
GAT,30,5,f025,ttd300_n30_L5_f025,83.0,256,-50505.7228,101.606
GAT,30,1,f050,ttd300_n30_L1_f050,187.0,256,-44463.1961,127.4542
GAT,30,2,f050,ttd300_n30_L2_f050,186.0,256,-40682.9124,122.6671
GAT,30,3,f050,ttd300_n30_L3_f050,160.0,256,-37142.4499,116.8716
GAT,30,4,f050,ttd300_n30_L4_f050,174.0,256,-41554.9459,116.6537
GAT,30,5,f050,ttd300_n30_L5_f050,166.0,256,-42883.3356,118.5867
GAT,30,1,f075,ttd300_n30_L1_f075,280.0,256,-35662.2331,160.5842
GAT,30,2,f075,ttd300_n30_L2_f075,279.0,256,-44200.4925,162.6013
GAT,30,3,f075,ttd300_n30_L3_f075,241.0,256,-36539.5803,155.7575
GAT,30,4,f075,ttd300_n30_L4_f075,260.0,256,-40129.9953,145.6389
GAT,30,5,f075,ttd300_n30_L5_f075,248.0,256,-45284.5193,150.9235
GAT,30,1,f100,ttd300_n30_L1_f100,374.0,256,-38899.8746,165.9819
GAT,30,2,f100,ttd300_n30_L2_f100,372.0,256,-43902.4747,173.8643
GAT,30,3,f100,ttd300_n30_L3_f100,321.0,256,-41294.9219,174.5682
GAT,30,4,f100,ttd300_n30_L4_f100,347.0,256,-41988.8909,162.1597
GAT,30,5,f100,ttd300_n30_L5_f100,331.0,256,-45576.4155,172.5379
GAT,40,1,f025,ttd300_n40_L1_f025,94.0,256,-55270.4111,140.268
GAT,40,2,f025,ttd300_n40_L2_f025,80.0,256,-53688.5901,141.9111
GAT,40,3,f025,ttd300_n40_L3_f025,96.0,256,-63703.9251,147.9672
GAT,40,4,f025,ttd300_n40_L4_f025,91.0,256,-56353.3283,134.4524
GAT,40,5,f025,ttd300_n40_L5_f025,100.0,256,-56380.302,150.2348
GAT,40,1,f050,ttd300_n40_L1_f050,189.0,256,-41670.3902,207.2638
GAT,40,2,f050,ttd300_n40_L2_f050,160.0,256,-40432.6814,219.7403
GAT,40,3,f050,ttd300_n40_L3_f050,191.0,256,-44572.0566,221.5592
GAT,40,4,f050,ttd300_n40_L4_f050,182.0,256,-39325.341,197.1835
GAT,40,5,f050,ttd300_n40_L5_f050,200.0,256,-44607.702,234.288
GAT,40,1,f075,ttd300_n40_L1_f075,284.0,256,-43165.3606,301.304
GAT,40,2,f075,ttd300_n40_L2_f075,241.0,256,-35490.0954,336.7294
GAT,40,3,f075,ttd300_n40_L3_f075,286.0,256,-45739.834,323.1857
GAT,40,4,f075,ttd300_n40_L4_f075,274.0,256,-39956.2811,317.317
GAT,40,5,f075,ttd300_n40_L5_f075,300.0,256,-43796.8288,337.9251
GAT,40,1,f100,ttd300_n40_L1_f100,378.0,256,-42184.2742,360.9506
GAT,40,2,f100,ttd300_n40_L2_f100,321.0,256,-35984.7768,370.1671
GAT,40,3,f100,ttd300_n40_L3_f100,382.0,256,-45739.834,359.1942
GAT,40,4,f100,ttd300_n40_L4_f100,365.0,256,-39422.4643,350.3093
GAT,40,5,f100,ttd300_n40_L5_f100,400.0,256,-43956.9337,351.2068
GAT,50,1,f025,ttd300_n50_L1_f025,94.0,256,-60509.7583,205.2855
GAT,50,2,f025,ttd300_n50_L2_f025,86.0,256,-51526.1189,197.3242
GAT,50,3,f025,ttd300_n50_L3_f025,95.0,256,-64937.3629,198.5653
GAT,50,4,f025,ttd300_n50_L4_f025,94.0,256,-67919.1589,191.1241
GAT,50,5,f025,ttd300_n50_L5_f025,93.0,256,-61458.4559,200.431
GAT,50,1,f050,ttd300_n50_L1_f050,187.0,256,-40754.7853,364.5071
GAT,50,2,f050,ttd300_n50_L2_f050,172.0,256,-41089.744,355.4026
GAT,50,3,f050,ttd300_n50_L3_f050,190.0,256,-45128.0732,390.7675
GAT,50,4,f050,ttd300_n50_L4_f050,188.0,256,-42956.6089,391.6296
GAT,50,5,f050,ttd300_n50_L5_f050,186.0,256,-41729.8285,382.2799
GAT,50,1,f075,ttd300_n50_L1_f075,280.0,256,-39249.0006,589.0071
GAT,50,2,f075,ttd300_n50_L2_f075,257.0,256,-40604.9441,579.6032
GAT,50,3,f075,ttd300_n50_L3_f075,284.0,256,-46270.3884,598.644
GAT,50,4,f075,ttd300_n50_L4_f075,281.0,256,-47990.3165,605.058
GAT,50,5,f075,ttd300_n50_L5_f075,279.0,256,-44467.2921,614.215
GAT,50,1,f100,ttd300_n50_L1_f100,374.0,256,-39769.7935,668.5126
GAT,50,2,f100,ttd300_n50_L2_f100,343.0,256,-40573.7502,647.7185
GAT,50,3,f100,ttd300_n50_L3_f100,379.0,256,-46270.3884,658.8599
GAT,50,4,f100,ttd300_n50_L4_f100,375.0,256,-50592.135,653.7612
GAT,50,5,f100,ttd300_n50_L5_f100,372.0,256,-44467.2921,676.475
GAT,75,1,f025,ttd300_n75_L1_f025,94.0,256,-53466.366,387.617
GAT,75,2,f025,ttd300_n75_L2_f025,97.0,256,-37462.1682,488.7243
GAT,75,3,f025,ttd300_n75_L3_f025,91.0,256,-46549.7352,416.3895
GAT,75,4,f025,ttd300_n75_L4_f025,88.0,256,-43678.7432,390.2998
GAT,75,5,f025,ttd300_n75_L5_f025,100.0,256,-48308.1781,447.7346
GAT,75,1,f050,ttd300_n75_L1_f050,187.0,256,-42516.654,1153.0876
GAT,75,2,f050,ttd300_n75_L2_f050,194.0,256,-33365.1033,1298.1229
GAT,75,3,f050,ttd300_n75_L3_f050,182.0,256,-48638.0145,866.9231
GAT,75,4,f050,ttd300_n75_L4_f050,177.0,256,-37574.6784,1177.5143
GAT,75,5,f050,ttd300_n75_L5_f050,199.0,256,-48824.5158,924.9828
GAT,75,1,f075,ttd300_n75_L1_f075,280.0,256,-44564.8403,1788.1673
GAT,75,2,f075,ttd300_n75_L2_f075,290.0,256,-34715.1312,1900.9464
GAT,75,3,f075,ttd300_n75_L3_f075,272.0,256,-41409.3139,2014.7683
GAT,75,4,f075,ttd300_n75_L4_f075,266.0,256,-37920.1923,1905.8453
GAT,75,5,f075,ttd300_n75_L5_f075,298.0,256,-44700.9919,1800.1577
GAT,75,1,f100,ttd300_n75_L1_f100,374.0,256,-44047.8885,2094.0279
GAT,75,2,f100,ttd300_n75_L2_f100,387.0,256,-34069.3376,2099.1327
GAT,75,3,f100,ttd300_n75_L3_f100,363.0,256,-40994.3553,2121.6956
GAT,75,4,f100,ttd300_n75_L4_f100,354.0,256,-37732.5358,2080.3271
GAT,75,5,f100,ttd300_n75_L5_f100,398.0,256,-44700.9919,2090.9266
GAT,100,1,f025,ttd300_n100_L1_f025,98.0,256,-66697.8284,712.9181
GAT,100,2,f025,ttd300_n100_L2_f025,98.0,256,-52211.0749,827.3509
GAT,100,3,f025,ttd300_n100_L3_f025,94.0,256,-58808.1294,800.9217
GAT,100,4,f025,ttd300_n100_L4_f025,93.0,256,-62719.9155,729.8525
GAT,100,5,f025,ttd300_n100_L5_f025,92.0,256,-51935.4693,628.8547
GAT,100,1,f050,ttd300_n100_L1_f050,196.0,256,-56750.0815,2399.4852
GAT,100,2,f050,ttd300_n100_L2_f050,195.0,256,-43424.8725,2624.5592
GAT,100,3,f050,ttd300_n100_L3_f050,188.0,256,-43145.7857,2829.5629
GAT,100,4,f050,ttd300_n100_L4_f050,186.0,256,-39402.2098,2444.3754
GAT,100,5,f050,ttd300_n100_L5_f050,183.0,256,-52155.4651,1908.2807
GAT,100,1,f075,ttd300_n100_L1_f075,295.0,256,-46459.6193,4498.1702
GAT,100,2,f075,ttd300_n100_L2_f075,292.0,256,-36224.2243,4609.6378
GAT,100,3,f075,ttd300_n100_L3_f075,282.0,256,-44793.4669,4437.238
GAT,100,4,f075,ttd300_n100_L4_f075,278.0,256,-39630.859,4416.6375
GAT,100,5,f075,ttd300_n100_L5_f075,274.0,256,-47062.7863,4210.3607
GAT,100,1,f100,ttd300_n100_L1_f100,393.0,256,-46459.6193,4769.1531
GAT,100,2,f100,ttd300_n100_L2_f100,390.0,256,-36102.5406,4797.3074
GAT,100,3,f100,ttd300_n100_L3_f100,376.0,256,-45113.2156,4752.7056
GAT,100,4,f100,ttd300_n100_L4_f100,371.0,256,-38476.7373,4793.2947
GAT,100,5,f100,ttd300_n100_L5_f100,366.0,256,-46732.1326,4766.7487
