n,layout,frac,instance,GAT_beam256,SA_full_best,LISA_50pct,BEST_REF,GAT_gap_%,SA_gap_%,LISA_gap_%
10,1,f025,ttd300_n10_L1_f025,-45243.2,-45243.2,-45243.2,-45243.2,0.000,0.000,0.000
10,1,f050,ttd300_n10_L1_f050,-42297.6,-41253.2,-41253.2,-41253.2,2.532,0.000,0.000
10,1,f075,ttd300_n10_L1_f075,-35709.5,-34623.1,-34623.1,-34623.1,3.138,0.000,-0.000
10,1,f100,ttd300_n10_L1_f100,-31759.9,-29669.8,-29669.8,-29669.8,7.045,0.000,0.000
10,2,f025,ttd300_n10_L2_f025,-35855.9,-35485.5,,-35485.5,1.044,0.000,
10,2,f050,ttd300_n10_L2_f050,-31974.8,-31974.8,,-31974.8,0.000,0.000,
10,2,f075,ttd300_n10_L2_f075,-31974.8,-30076.4,,-30076.4,6.312,0.000,
10,2,f100,ttd300_n10_L2_f100,-22233.5,-21359.9,,-21359.9,4.090,0.000,
10,3,f025,ttd300_n10_L3_f025,-46707.3,-46605.8,,-46605.8,0.218,0.000,
10,3,f050,ttd300_n10_L3_f050,-43800.7,-43655.7,,-43655.7,0.332,0.000,
10,3,f075,ttd300_n10_L3_f075,-41256.2,-39634.0,,-39634.0,4.093,0.000,
10,3,f100,ttd300_n10_L3_f100,-29571.9,-27048.6,,-27048.6,9.329,0.000,
10,4,f025,ttd300_n10_L4_f025,-39204.9,-39204.9,,-39204.9,0.000,0.000,
10,4,f050,ttd300_n10_L4_f050,-36633.9,-36633.9,,-36633.9,0.000,0.000,
10,4,f075,ttd300_n10_L4_f075,-24058.5,-23642.3,,-23642.3,1.760,0.000,
10,4,f100,ttd300_n10_L4_f100,-22876.6,-21573.4,,-21573.4,6.041,0.000,
10,5,f025,ttd300_n10_L5_f025,-43130.5,-43130.5,,-43130.5,0.000,0.000,
10,5,f050,ttd300_n10_L5_f050,-38850.3,-38700.5,,-38700.5,0.387,0.000,
10,5,f075,ttd300_n10_L5_f075,-31184.8,-31116.3,,-31116.3,0.220,0.000,
10,5,f100,ttd300_n10_L5_f100,-29534.8,-29298.4,,-29298.4,0.807,0.000,
20,1,f025,ttd300_n20_L1_f025,-61159.8,-54904.8,-54904.8,-54904.8,11.392,0.000,0.000
20,1,f050,ttd300_n20_L1_f050,-57302.7,-48705.0,-48964.6,-48705.0,17.653,0.000,0.533
20,1,f075,ttd300_n20_L1_f075,-38429.7,-29438.9,-29051.0,-29438.9,30.541,0.000,-1.318
20,1,f100,ttd300_n20_L1_f100,-35544.0,-27953.1,-28399.6,-27599.2,28.786,1.282,2.900
20,2,f025,ttd300_n20_L2_f025,-42922.0,-40569.4,,-40569.4,5.799,0.000,
20,2,f050,ttd300_n20_L2_f050,-35998.2,-28686.4,,-28686.4,25.489,0.000,
20,2,f075,ttd300_n20_L2_f075,-30337.3,-23459.3,,-22872.2,32.638,2.567,
20,2,f100,ttd300_n20_L2_f100,-28818.9,-23249.1,,-22887.9,25.913,1.578,
20,3,f025,ttd300_n20_L3_f025,-58713.6,-56881.5,,-56881.5,3.221,0.000,
20,3,f050,ttd300_n20_L3_f050,-47690.8,-40664.7,,-40664.7,17.278,0.000,
20,3,f075,ttd300_n20_L3_f075,-39083.2,-30382.5,,-29807.7,31.118,1.928,
20,3,f100,ttd300_n20_L3_f100,-36818.0,-29489.4,,-27853.9,32.182,5.872,
20,4,f025,ttd300_n20_L4_f025,-50447.1,-48586.3,,-48586.3,3.830,0.000,
20,4,f050,ttd300_n20_L4_f050,-37244.1,-34941.1,,-34941.1,6.591,0.000,
20,4,f075,ttd300_n20_L4_f075,-31421.0,-27102.9,,-26449.8,18.795,2.469,
20,4,f100,ttd300_n20_L4_f100,-31421.0,-26202.3,,-26202.3,19.917,0.000,
20,5,f025,ttd300_n20_L5_f025,-58300.7,-55473.1,,-55473.1,5.097,0.000,
20,5,f050,ttd300_n20_L5_f050,-47029.5,-43488.6,,-43046.8,9.252,1.026,
20,5,f075,ttd300_n20_L5_f075,-42509.8,-32898.7,,-32898.7,29.214,0.000,
20,5,f100,ttd300_n20_L5_f100,-37481.3,-29565.1,,-29565.1,26.776,0.000,
30,1,f025,ttd300_n30_L1_f025,-58338.5,-52332.8,-52758.6,-52332.8,11.476,0.000,0.814
30,1,f050,ttd300_n30_L1_f050,-44463.2,-35227.1,-35861.6,-35227.1,26.219,0.000,1.801
30,1,f075,ttd300_n30_L1_f075,-35662.2,-29357.5,-30520.1,-29357.5,21.476,0.000,3.960
30,1,f100,ttd300_n30_L1_f100,-38899.9,-27842.4,-29291.5,-27842.4,39.714,0.000,5.204
30,2,f025,ttd300_n30_L2_f025,-50961.4,-42801.8,,-42801.8,19.064,0.000,
30,2,f050,ttd300_n30_L2_f050,-40682.9,-37442.4,,-37328.7,8.986,0.305,
30,2,f075,ttd300_n30_L2_f075,-44200.5,-34362.6,,-34362.6,28.630,0.000,
30,2,f100,ttd300_n30_L2_f100,-43902.5,-33902.9,,-33902.9,29.495,0.000,
30,3,f025,ttd300_n30_L3_f025,-53288.8,-48249.4,,-48249.4,10.445,0.000,
30,3,f050,ttd300_n30_L3_f050,-37142.4,-30954.1,,-30592.4,21.411,1.182,
30,3,f075,ttd300_n30_L3_f075,-36539.6,-25540.5,,-25540.5,43.065,0.000,
30,3,f100,ttd300_n30_L3_f100,-41294.9,-27030.9,,-27030.9,52.769,0.000,
30,4,f025,ttd300_n30_L4_f025,-53082.0,-49102.4,,-49102.4,8.105,0.000,
30,4,f050,ttd300_n30_L4_f050,-41554.9,-33491.4,,-33491.4,24.076,0.000,
30,4,f075,ttd300_n30_L4_f075,-40130.0,-27375.6,,-27375.6,46.590,0.000,
30,4,f100,ttd300_n30_L4_f100,-41988.9,-28194.6,,-28194.6,48.925,0.000,
30,5,f025,ttd300_n30_L5_f025,-50505.7,-44665.1,,-44665.1,13.077,0.000,
30,5,f050,ttd300_n30_L5_f050,-42883.3,-32133.5,,-32133.5,33.454,0.000,
30,5,f075,ttd300_n30_L5_f075,-45284.5,-29504.7,,-29504.7,53.482,0.000,
30,5,f100,ttd300_n30_L5_f100,-45576.4,-29092.0,,-29092.0,56.663,0.000,
40,1,f025,ttd300_n40_L1_f025,-55270.4,-43501.7,-44240.5,-42965.9,28.638,1.247,2.966
40,1,f050,ttd300_n40_L1_f050,-41670.4,-32410.7,-33852.6,-32410.7,28.570,0.000,4.449
40,1,f075,ttd300_n40_L1_f075,-43165.4,-32453.3,-33487.6,-32453.3,33.008,0.000,3.187
40,1,f100,ttd300_n40_L1_f100,-42184.3,-31373.5,-32698.0,-31373.5,34.458,0.000,4.222
40,2,f025,ttd300_n40_L2_f025,-53688.6,-46049.5,,-46049.5,16.589,0.000,
40,2,f050,ttd300_n40_L2_f050,-40432.7,-31643.2,,-31643.2,27.777,0.000,
40,2,f075,ttd300_n40_L2_f075,-35490.1,-28926.5,,-28926.5,22.691,0.000,
40,2,f100,ttd300_n40_L2_f100,-35984.8,-28748.8,,-28748.8,25.170,0.000,
40,3,f025,ttd300_n40_L3_f025,-63703.9,-53722.7,,-52126.7,22.210,3.062,
40,3,f050,ttd300_n40_L3_f050,-44572.1,-37267.4,,-37254.8,19.641,0.034,
40,3,f075,ttd300_n40_L3_f075,-45739.8,-36223.1,,-35129.1,30.205,3.114,
40,3,f100,ttd300_n40_L3_f100,-45739.8,-36001.8,,-35181.5,30.011,2.332,
40,4,f025,ttd300_n40_L4_f025,-56353.3,-50897.7,,-50897.7,10.719,0.000,
40,4,f050,ttd300_n40_L4_f050,-39325.3,-31975.3,,-31975.3,22.987,0.000,
40,4,f075,ttd300_n40_L4_f075,-39956.3,-30764.3,,-30764.3,29.879,0.000,
40,4,f100,ttd300_n40_L4_f100,-39422.5,-31049.8,,-31049.8,26.965,0.000,
40,5,f025,ttd300_n40_L5_f025,-56380.3,-46238.0,,-45632.5,23.553,1.327,
40,5,f050,ttd300_n40_L5_f050,-44607.7,-34715.7,,-34715.7,28.494,0.000,
40,5,f075,ttd300_n40_L5_f075,-43796.8,-31896.1,,-31896.1,37.311,0.000,
40,5,f100,ttd300_n40_L5_f100,-43956.9,-32335.9,,-32335.9,35.939,0.000,
50,1,f025,ttd300_n50_L1_f025,-60509.8,-43569.9,-43569.9,-43569.9,38.880,0.000,0.000
50,1,f050,ttd300_n50_L1_f050,-40754.8,-27221.2,-29306.1,-27221.2,49.717,0.000,7.659
50,1,f075,ttd300_n50_L1_f075,-39249.0,-26611.9,-27566.1,-26611.9,47.487,0.000,3.586
