normalizer,n,frac,ED_mean,n_drone_mean,n_rendv_mean,obj_mean,drone_util_pct
diagonal,10,0.25,106,1.2,1.6,-40357.5,12.0
diagonal,10,0.5,212,3.8,4.6,-29982.4,38.0
diagonal,10,0.75,319,4,4.8,-25635.9,40.0
diagonal,10,1.0,425,3.8,4.8,-24866.9,38.0
diagonal,20,0.25,106,5,6.6,-47187.7,25.0
diagonal,20,0.5,212,8.2,9.4,-37301.0,41.0
diagonal,20,0.75,319,8.8,9,-28067.2,44.0
diagonal,20,1.0,425,8,8.6,-28322.1,40.0
diagonal,30,0.25,106,9.6,11,-46742.8,32.0
diagonal,30,0.5,212,12,12.6,-35236.6,40.0
diagonal,30,0.75,319,10.8,11.4,-32061.3,36.0
diagonal,30,1.0,425,11,11.4,-31988.1,36.7
diameter,10,0.25,70.4,0.2,0.2,-41934.0,2.0
diameter,10,0.5,140.6,1.6,2,-38443.6,16.0
diameter,10,0.75,210.8,3.4,4.4,-31818.4,34.0
diameter,10,1.0,281.2,4,5,-25808.1,40.0
diameter,20,0.25,86.4,2.8,4.2,-51307.4,14.0
diameter,20,0.5,172.8,6.8,8.2,-39472.2,34.0
diameter,20,0.75,259.2,9,9.4,-29888.3,45.0
diameter,20,1.0,345.6,8.6,9.2,-28337.1,43.0
diameter,30,0.25,87.4,7.8,9.2,-49074.8,26.0
diameter,30,0.5,174.6,11.6,13,-36157.3,38.7
diameter,30,0.75,261.6,11,11.8,-34067.7,36.7
diameter,30,1.0,349,10.8,11.2,-31710.0,36.0
