n,ED_frac,n_layouts,mi_objective,si_objective,delta_obj,cities_collected,total_items,avg_items_per_city,multi_pick_cities,max_items_one_city,W_collected,W_capacity,cap_util_%,profit,n_truck_cities,n_drone_cities
10,0.25,1,-43617.5,-45243.2,1625.7,4.0,10.0,2.5,3.0,4.0,10046.0,22750.0,44.2,7113.0,4.0,0.0
10,0.5,1,-37993.9,-41253.2,3259.3,4.0,13.0,3.25,4.0,5.0,13053.0,22750.0,57.4,9113.0,2.0,2.0
10,0.75,1,-30665.2,-34623.1,3957.9,6.0,17.0,2.83,5.0,5.0,17082.0,22750.0,75.1,12169.0,3.0,3.0
10,1.0,1,-25665.3,-29669.8,4004.5,7.0,18.0,2.57,5.0,5.0,18091.0,22750.0,79.5,13315.0,3.0,4.0
20,0.25,1,-46906.3,-54904.8,7998.5,13.0,37.0,2.85,10.0,5.0,37155.0,45501.0,81.7,24305.0,8.0,5.0
20,0.5,1,-38317.7,-48705.0,10387.2,14.0,40.0,2.86,12.0,5.0,40189.0,45501.0,88.3,28904.0,7.0,7.0
20,0.75,1,-21432.1,-29438.9,8006.8,18.0,42.0,2.33,13.0,5.0,42197.0,45501.0,92.7,32824.0,9.0,9.0
20,1.0,1,-17676.6,-27953.1,10276.4,16.0,43.0,2.69,13.0,5.0,43193.0,45501.0,94.9,33205.0,8.0,8.0
30,0.25,1,-42306.8,-52773.7,10466.9,18.0,50.0,2.78,11.0,5.0,50236.0,68251.0,73.6,33930.0,13.0,5.0
30,0.5,1,-27167.4,-36714.6,9547.3,22.0,56.0,2.54,15.0,5.0,56276.0,68251.0,82.5,39866.0,15.0,7.0
30,0.75,1,-18962.6,-30403.5,11440.9,23.0,56.0,2.44,16.0,5.0,56283.0,68251.0,82.5,41934.0,14.0,9.0
30,1.0,1,-17792.3,-29843.0,12050.8,24.0,54.0,2.25,15.0,5.0,54268.0,68251.0,79.5,42125.0,14.0,10.0
40,0.25,1,-32169.4,-43626.3,11456.8,29.0,68.0,2.35,19.0,5.0,68279.0,91001.0,75.0,52187.0,21.0,8.0
40,0.5,1,-19924.9,-32699.1,12774.1,33.0,80.0,2.42,22.0,5.0,80315.0,91001.0,88.3,56959.0,21.0,12.0
40,0.75,1,-18949.2,-32803.7,13854.5,29.0,77.0,2.65,24.0,5.0,77329.0,91001.0,85.0,57871.0,19.0,10.0
40,1.0,1,-15424.1,-32515.4,17091.3,32.0,85.0,2.66,25.0,5.0,85354.0,91001.0,93.8,61372.0,21.0,11.0
50,0.25,1,-22213.9,-45766.8,23552.9,39.0,104.0,2.67,27.0,5.0,104485.0,113752.0,91.9,72262.0,24.0,15.0
50,0.5,1,-3954.8,-27173.0,23218.2,43.0,106.0,2.46,30.0,5.0,106507.0,113752.0,93.6,76682.0,24.0,19.0
50,0.75,1,-177.2,-27165.9,26988.7,43.0,106.0,2.46,29.0,5.0,106490.0,113752.0,93.6,76001.0,29.0,14.0
50,1.0,1,-3186.7,-27858.4,24671.7,43.0,109.0,2.54,29.0,5.0,109502.0,113752.0,96.3,78758.0,28.0,15.0
75,0.25,1,-17803.5,-43355.3,25551.8,58.0,145.0,2.5,46.0,5.0,145670.0,170628.0,85.4,100976.0,38.0,20.0
75,0.5,1,-6993.1,-33963.2,26970.1,62.0,153.0,2.47,49.0,5.0,153695.0,170628.0,90.1,106642.0,39.0,23.0
75,0.75,1,-3790.4,-34560.7,30770.3,61.0,152.0,2.49,46.0,5.0,152688.0,170628.0,89.5,105780.0,42.0,19.0
75,1.0,1,-9112.9,-31553.7,22440.9,58.0,146.0,2.52,40.0,5.0,146586.0,170628.0,85.9,101950.0,38.0,20.0
100,0.25,1,7278.5,-45240.2,52518.8,77.0,203.0,2.64,58.0,5.0,203959.0,227504.0,89.7,154353.0,56.0,21.0
100,0.5,1,8590.4,-36373.5,44963.9,83.0,203.0,2.45,59.0,5.0,203911.0,227504.0,89.6,151186.0,55.0,28.0
100,0.75,1,2517.7,-32453.4,34971.1,81.0,208.0,2.57,60.0,5.0,208942.0,227504.0,91.8,157187.0,59.0,22.0
100,1.0,1,1915.8,-38929.0,40844.9,80.0,208.0,2.6,59.0,5.0,208968.0,227504.0,91.9,155972.0,58.0,22.0
