n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
10,0.25,R,1,1,7415.2,1157.8,1157.8,10.0,0.0,0.0,10.0,8573.0,0.1,19913487.0
10,0.25,R,100,1,-93589.1,95976.1,959.8,3.0,0.0,0.0,3.0,2387.0,0.1,20438619.0
10,0.25,R,12.5,1,-5899.2,14472.2,1157.8,10.0,0.0,0.0,10.0,8573.0,0.1,20042002.0
10,0.25,R,200,1,-188833.8,189677.8,948.4,1.0,0.0,0.0,1.0,844.0,0.1,20023666.0
10,0.25,R,25,1,-19668.3,26691.3,1067.7,8.0,0.0,0.0,8.0,7023.0,0.1,20046505.0
10,0.25,R,50,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20027623.0
10,0.25,Wcap,0.25,1,-47001.2,47845.2,956.9,1.0,0.0,0.0,1.0,844.0,0.1,20533525.0
10,0.25,Wcap,0.5,1,-46449.2,48836.2,976.7,3.0,0.0,0.0,3.0,2387.0,0.1,20105132.0
10,0.25,Wcap,1,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20340968.0
10,0.25,Wcap,2,1,-42938.8,49961.8,999.2,8.0,0.0,0.0,8.0,7023.0,0.1,20029055.0
10,0.25,Wcap,4,1,-40792.8,49365.8,987.3,10.0,0.0,0.0,10.0,8573.0,0.1,20006860.0
10,0.25,baseline,-,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20607640.0
10,0.25,vDfact,0.5,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20489719.0
10,0.25,vDfact,1,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20312149.0
10,0.25,vDfact,2,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20274832.0
10,0.25,vDfact,3,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20252960.0
10,0.25,vDfact,4,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20226377.0
10,0.25,vmin,0.05,1,-45335.2,48679.2,973.6,4.0,0.0,0.0,4.0,3344.0,0.1,20041903.0
10,0.25,vmin,0.1,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20243064.0
10,0.25,vmin,0.25,1,-44741.8,49917.8,998.4,6.0,0.0,0.0,6.0,5176.0,0.1,20300618.0
10,0.25,vmin,0.5,1,-43275.3,50298.3,1006.0,8.0,0.0,0.0,8.0,7023.0,0.1,20151542.0
10,0.25,vmin,0.9,1,-39610.8,48183.8,963.7,10.0,0.0,0.0,10.0,8573.0,0.1,19971243.0
10,0.5,R,1,1,7507.2,1065.8,1065.8,8.0,2.0,2.0,10.0,8573.0,0.7,17316452.0
10,0.5,R,100,1,-85876.6,88339.6,883.4,2.0,1.0,2.0,3.0,2463.0,0.1,17705552.0
10,0.5,R,12.5,1,-4749.1,13322.1,1065.8,8.0,2.0,2.0,10.0,8573.0,0.1,17419397.0
10,0.5,R,200,1,-173571.8,175077.8,875.4,1.0,1.0,2.0,2.0,1506.0,1.5,17880830.0
10,0.5,R,25,1,-17585.5,24608.5,984.3,6.0,2.0,2.0,8.0,7023.0,0.1,17308710.0
10,0.5,R,50,1,-41253.2,45580.2,911.6,3.0,2.0,2.0,5.0,4327.0,0.1,17350524.0
10,0.5,Wcap,0.25,1,-42689.2,44195.2,883.9,1.0,1.0,2.0,2.0,1506.0,0.1,17993374.0
10,0.5,Wcap,0.5,1,-42297.2,44760.2,895.2,2.0,1.0,2.0,3.0,2463.0,0.4,17697975.0
10,0.5,Wcap,1,1,-41253.2,45580.2,911.6,3.0,2.0,2.0,5.0,4327.0,0.1,17407479.0
10,0.5,Wcap,2,1,-39014.9,46863.9,937.3,7.0,2.0,2.0,9.0,7849.0,0.7,17338281.0
10,0.5,Wcap,4,1,-36968.2,45541.2,910.8,8.0,2.0,2.0,10.0,8573.0,1.1,17452045.0
10,0.5,baseline,-,1,-41253.2,45580.2,911.6,3.0,2.0,2.0,5.0,4327.0,0.1,17570123.0
10,0.5,vDfact,0.5,1,-43646.0,47827.0,956.5,4.0,1.0,1.0,5.0,4181.0,0.9,18839865.0
