n,ED_frac,factor,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
10,0.25,0.0,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20310128.0
10,0.25,0.5,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20006974.0
10,0.25,1.0,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20367707.0
10,0.25,2.0,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20249514.0
10,0.25,3.0,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,0.1,20101372.0
10,0.5,0.0,1,-45243.2,49424.2,988.5,5.0,0.0,0.0,5.0,4181.0,36.4,20344906.0
10,0.5,0.5,1,-43646.0,47827.0,956.5,4.0,1.0,1.0,5.0,4181.0,0.9,19306076.0
10,0.5,1.0,1,-42123.0,48168.0,963.4,5.0,2.0,2.0,7.0,6045.0,0.1,17628834.0
10,0.5,2.0,1,-41253.2,45580.2,911.6,3.0,2.0,2.0,5.0,4327.0,0.1,17419084.0
10,0.5,3.0,1,-41253.2,45580.2,911.6,3.0,2.0,2.0,5.0,4327.0,0.1,17604137.0
10,0.75,0.0,1,-46737.5,49265.5,985.3,3.0,0.0,0.0,3.0,2528.0,0.0,20253505.0
10,0.75,0.5,1,-41515.1,46061.1,921.2,4.0,1.0,2.0,5.0,4546.0,2.2,18538560.0
10,0.75,1.0,1,-38215.1,46064.1,921.3,5.0,4.0,4.0,9.0,7849.0,2.5,16150151.0
10,0.75,2.0,1,-34623.1,40668.1,813.4,4.0,3.0,4.0,7.0,6045.0,0.1,13819845.0
10,0.75,3.0,1,-33876.9,39040.9,780.8,3.0,3.0,4.0,6.0,5164.0,7.4,13782901.0
10,1.0,0.0,1,-45819.1,50146.1,1002.9,5.0,0.0,0.0,5.0,4327.0,75.5,21468656.0
10,1.0,0.5,1,-40142.3,45318.3,906.4,5.0,1.0,1.0,6.0,5176.0,0.4,19598786.0
10,1.0,1.0,1,-36643.8,43666.8,873.3,5.0,3.0,4.0,8.0,7023.0,12.3,16663374.0
10,1.0,2.0,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,5.0,13834404.0
10,1.0,3.0,1,-28486.2,34628.2,692.6,4.0,3.0,5.0,7.0,6142.0,2.0,13471468.0
20,0.25,0.0,1,-67028.8,74373.8,1487.5,8.0,0.0,0.0,8.0,7345.0,0.0,36189390.0
20,0.25,0.5,1,-60871.7,72217.7,1444.4,12.0,1.0,1.0,13.0,11346.0,1.8,34939708.0
20,0.25,1.0,1,-58262.6,72222.6,1444.5,11.0,5.0,6.0,16.0,13960.0,5.3,31098538.0
