mode,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,cities_collected,total_items,avg_items_per_city,multi_pick_cities,max_items_one_city,items_dist,W_collected,W_actual,cap_util_%,n_truck_cities,n_drone_cities
MI,ttd300,10,1,0.25,76.0,,ttd300_n10_L1_f025,1,ok,-43617.4736,7113.0,,,120.0,,,,,,,22750.0,16987556,,,4,10,2.5,3,4,"{1: 1, 2: 1, 3: 1, 4: 1}",10046.0,50247.0,44.2,4,0
SI,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0026,0.1058,5,5,0,0,5020.0,22750.0,20165090,504,,,,,,,,,10052.0,,,
MI,ttd300,10,1,0.5,153.0,,ttd300_n10_L1_f050,1,ok,-37993.8885,9113.0,,,120.0,,,,,,,22750.0,14514749,,,4,13,3.25,4,5,"{2: 1, 3: 2, 5: 1}",13053.0,50247.0,57.4,2,2
SI,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.128,5,3,2,2,5024.0,22750.0,17479433,436,,,,,,,,,10052.0,,,
MI,ttd300,10,1,0.75,230.0,,ttd300_n10_L1_f075,1,ok,-30665.2298,12169.0,,,120.0,,,,,,,22750.0,12028408,,,6,17,2.833,5,5,"{1: 1, 2: 1, 3: 3, 5: 1}",17082.0,50247.0,75.1,3,3
SI,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.002,0.145,7,4,3,4,7036.0,22750.0,13949516,348,,,,,,,,,10052.0,,,
MI,ttd300,10,1,1.0,306.0,,ttd300_n10_L1_f100,1,ok,-25665.2967,13315.0,,,120.0,,,,,,,22750.0,11888349,,,7,18,2.571,5,5,"{1: 2, 2: 1, 3: 3, 5: 1}",18091.0,50247.0,79.5,3,4
SI,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0023,5.0107,9,4,5,5,9048.0,22750.0,13951924,348,,,,,,,,,10052.0,,,
MI,ttd300,20,1,0.25,96.0,,ttd300_n20_L1_f025,1,ok,-46906.2854,24305.0,,,300.0,,,,,,,45501.0,21558854,,,13,37,2.846,10,5,"{1: 3, 2: 3, 3: 1, 4: 5, 5: 1}",37155.0,100436.0,81.7,8,5
SI,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0163,5.2789,15,10,5,6,15059.0,45501.0,29858726,390,,,,,,,,,20078.0,,,
MI,ttd300,20,1,0.5,192.0,,ttd300_n20_L1_f050,1,ok,-38317.72,28904.0,,,300.0,,,,,,,45501.0,19196156,,,14,40,2.857,12,5,"{1: 2, 2: 4, 3: 3, 4: 4, 5: 1}",40189.0,100436.0,88.3,7,7
SI,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-48704.9604,14158.0,62862.9604,1257.2592,300.0924,300.0924,16,9,7,8,16068.0,45501.0,27263963,356,,,,,,,,,20078.0,,,
MI,ttd300,20,1,0.75,288.0,,ttd300_n20_L1_f075,1,ok,-21432.0928,32824.0,,,300.0,,,,,,,45501.0,18213513,,,18,42,2.333,13,5,"{1: 5, 2: 5, 3: 6, 4: 1, 5: 1}",42197.0,100436.0,92.7,9,9
SI,ttd300,20,1,0.75,288.0,384.0,ttd300_n20_L1_f075,1,ok,-29438.8579,17523.0,46961.8579,939.2372,300.2945,300.2944,20,11,9,9,20078.0,45501.0,24922950,325,,,,,,,,,20078.0,,,
MI,ttd300,20,1,1.0,384.0,,ttd300_n20_L1_f100,1,ok,-17676.6324,33205.0,,,300.0,,,,,,,45501.0,17115775,,,16,43,2.688,13,5,"{1: 3, 2: 4, 3: 5, 4: 3, 5: 1}",43193.0,100436.0,94.9,8,8
SI,ttd300,20,1,1.0,384.0,384.0,ttd300_n20_L1_f100,1,ok,-27953.0771,17523.0,45476.0771,909.5215,300.1309,140.7261,20,14,6,6,20078.0,45501.0,25908785,338,,,,,,,,,20078.0,,,
MI,ttd300,30,1,0.25,94.0,,ttd300_n30_L1_f025,1,ok,-42306.7897,33930.0,,,450.0,,,,,,,68251.0,24273976,,,18,50,2.778,11,5,"{1: 7, 2: 2, 3: 1, 4: 4, 5: 4}",50236.0,150705.0,73.6,13,5
SI,ttd300,30,1,0.25,94.0,374.0,ttd300_n30_L1_f025,1,ok,-52773.6726,21425.0,74198.6726,1483.9735,450.2688,450.2688,25,18,7,9,25122.0,68251.0,35100596,311,,,,,,,,,30154.0,,,
MI,ttd300,30,1,0.5,187.0,,ttd300_n30_L1_f050,1,ok,-27167.3501,39866.0,,,450.0,,,,,,,68251.0,21504959,,,22,56,2.545,15,5,"{1: 7, 2: 6, 3: 3, 4: 2, 5: 4}",56276.0,150705.0,82.5,15,7
SI,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-36714.6248,24492.0,61206.6248,1224.1325,450.0153,105.5365,29,16,13,13,29150.0,68251.0,29917380,264,,,,,,,,,30154.0,,,
MI,ttd300,30,1,0.75,280.0,,ttd300_n30_L1_f075,1,ok,-18962.6442,41934.0,,,450.0,,,,,,,68251.0,20804725,,,23,56,2.435,16,5,"{1: 7, 2: 6, 3: 5, 4: 3, 5: 2}",56283.0,150705.0,82.5,14,9
SI,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-30403.5404,24668.0,55071.5404,1101.4308,450.2141,450.2141,29,18,11,11,29146.0,68251.0,29659116,262,,,,,,,,,30154.0,,,
MI,ttd300,30,1,1.0,374.0,,ttd300_n30_L1_f100,1,ok,-17792.2608,42125.0,,,450.0,,,,,,,68251.0,20871447,,,24,54,2.25,15,5,"{1: 9, 2: 6, 3: 4, 4: 4, 5: 1}",54268.0,150705.0,79.5,14,10
SI,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-29843.0387,25223.0,55066.0387,1101.3208,450.0159,115.3842,30,16,14,14,30154.0,68251.0,30042263,265,,,,,,,,,30154.0,,,
MI,ttd300,40,1,0.25,94.0,,ttd300_n40_L1_f025,1,ok,-32169.4222,52187.0,,,600.0,,,,,,,91001.0,25578294,,,29,68,2.345,19,5,"{1: 10, 2: 8, 3: 4, 4: 5, 5: 2}",68279.0,200825.0,75.0,21,8
SI,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,1,ok,-43626.2665,31792.0,75418.2665,1508.3653,600.0304,263.1614,36,24,12,14,36164.0,91001.0,37456965,250,,,,,,,,,40182.0,,,
MI,ttd300,40,1,0.5,189.0,,ttd300_n40_L1_f050,1,ok,-19924.9207,56959.0,,,600.0,,,,,,,91001.0,22850068,,,33,80,2.424,22,5,"{1: 11, 2: 9, 3: 5, 4: 4, 5: 4}",80315.0,200825.0,88.3,21,12
SI,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,1,ok,-32699.0651,33658.0,66357.0651,1327.1413,600.0334,66.4143,39,23,16,16,39181.0,91001.0,34690550,231,,,,,,,,,40182.0,,,
MI,ttd300,40,1,0.75,284.0,,ttd300_n40_L1_f075,1,ok,-18949.2223,57871.0,,,600.0,,,,,,,91001.0,22759847,,,29,77,2.655,24,5,"{1: 5, 2: 11, 3: 4, 4: 7, 5: 2}",77329.0,200825.0,85.0,19,10
SI,ttd300,40,1,0.75,284.0,378.0,ttd300_n40_L1_f075,1,ok,-32803.6789,34418.0,67221.6789,1344.4336,600.0349,193.1143,40,23,17,17,40182.0,91001.0,33997900,227,,,,,,,,,40182.0,,,
MI,ttd300,40,1,1.0,378.0,,ttd300_n40_L1_f100,1,ok,-15424.1335,61372.0,,,600.0,,,,,,,91001.0,22382623,,,32,85,2.656,25,5,"{1: 7, 2: 11, 3: 4, 4: 6, 5: 4}",85354.0,200825.0,93.8,21,11
SI,ttd300,40,1,1.0,378.0,378.0,ttd300_n40_L1_f100,1,ok,-32515.4175,34418.0,66933.4175,1338.6684,600.0345,96.6858,40,24,16,16,40182.0,91001.0,34479814,230,,,,,,,,,40182.0,,,
MI,ttd300,50,1,0.25,94.0,,ttd300_n50_L1_f025,1,ok,-22213.888,72262.0,,,750.01,,,,,,,113752.0,24982638,,,39,104,2.667,27,5,"{1: 12, 2: 6, 3: 8, 4: 9, 5: 4}",104485.0,251128.0,91.9,24,15
SI,ttd300,50,1,0.25,94.0,374.0,ttd300_n50_L1_f025,1,ok,-45766.8095,39357.0,85123.8095,1702.4762,750.0522,107.1851,48,30,18,18,48222.0,113752.0,39552071,212,,,,,,,,,50238.0,,,
MI,ttd300,50,1,0.5,187.0,,ttd300_n50_L1_f050,1,ok,-3954.8376,76682.0,,,750.01,,,,,,,113752.0,23527118,,,43,106,2.465,30,5,"{1: 13, 2: 10, 3: 10, 4: 7, 5: 3}",106507.0,251128.0,93.6,24,19
SI,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-27172.9973,40611.0,67783.9973,1355.6799,750.1086,750.1086,50,29,21,21,50238.0,113752.0,36594120,196,,,,,,,,,50238.0,,,
MI,ttd300,50,1,0.75,280.0,,ttd300_n50_L1_f075,1,ok,-177.1578,76001.0,,,750.01,,,,,,,113752.0,22944263,,,43,106,2.465,29,5,"{1: 14, 2: 10, 3: 9, 4: 5, 5: 5}",106490.0,251128.0,93.6,29,14
SI,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-27165.9067,40611.0,67776.9067,1355.5381,750.093,750.0929,50,32,18,18,50238.0,113752.0,35941680,192,,,,,,,,,50238.0,,,
MI,ttd300,50,1,1.0,374.0,,ttd300_n50_L1_f100,1,ok,-3186.6694,78758.0,,,750.01,,,,,,,113752.0,23138337,,,43,109,2.535,29,5,"{1: 14, 2: 7, 3: 11, 4: 7, 5: 4}",109502.0,251128.0,96.3,28,15
SI,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-27858.3954,40082.0,67940.3954,1358.8079,750.1267,750.1266,49,31,18,18,49231.0,113752.0,36753267,197,,,,,,,,,50238.0,,,
MI,ttd300,75,1,0.25,94.0,,ttd300_n75_L1_f025,1,ok,-17803.4992,100976.0,,,975.01,,,,,,,170628.0,23552248,,,58,145,2.5,46,5,"{1: 12, 2: 21, 3: 12, 4: 10, 5: 3}",145670.0,376705.0,85.4,38,20
SI,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-43355.2649,57688.0,101043.2649,2020.8653,975.3182,975.3182,72,42,30,30,72302.0,170628.0,37836383,135,,,,,,,,,75317.0,,,
MI,ttd300,75,1,0.5,187.0,,ttd300_n75_L1_f050,1,ok,-6993.0945,106642.0,,,975.01,,,,,,,170628.0,22318189,,,62,153,2.468,49,5,"{1: 13, 2: 22, 3: 16, 4: 7, 5: 4}",153695.0,376705.0,90.1,39,23
SI,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,1,ok,-33963.2147,58031.0,91994.2147,1839.8843,975.3698,975.3698,73,47,26,26,73308.0,170628.0,35968727,128,,,,,,,,,75317.0,,,
MI,ttd300,75,1,0.75,280.0,,ttd300_n75_L1_f075,1,ok,-3790.4027,105780.0,,,975.03,,,,,,,170628.0,21748245,,,61,152,2.492,46,5,"{1: 15, 2: 17, 3: 17, 4: 8, 5: 4}",152688.0,376705.0,89.5,42,19
SI,ttd300,75,1,0.75,280.0,374.0,ttd300_n75_L1_f075,1,ok,-34560.7144,58888.0,93448.7144,1868.9743,975.3501,975.3501,75,52,23,23,75317.0,170628.0,35655080,127,,,,,,,,,75317.0,,,
MI,ttd300,75,1,1.0,374.0,,ttd300_n75_L1_f100,1,ok,-9112.8769,101950.0,,,975.01,,,,,,,170628.0,21806689,,,58,146,2.517,40,5,"{1: 18, 2: 14, 3: 10, 4: 10, 5: 6}",146586.0,376705.0,85.9,38,20
SI,ttd300,75,1,1.0,374.0,374.0,ttd300_n75_L1_f100,1,ok,-31553.7415,58888.0,90441.7415,1808.8348,975.6067,975.6066,75,53,22,22,75317.0,170628.0,35204785,126,,,,,,,,,75317.0,,,
MI,ttd300,100,1,0.25,98.0,,ttd300_n100_L1_f025,1,ok,7278.5408,154353.0,,,1200.02,,,,,,,227504.0,22310215,,,77,203,2.636,58,5,"{1: 19, 2: 21, 3: 16, 4: 11, 5: 10}",203959.0,502272.0,89.7,56,21
SI,ttd300,100,1,0.25,98.0,393.0,ttd300_n100_L1_f025,1,ok,-45240.2204,82710.0,127950.2204,2559.0044,1200.3513,1200.3512,97,66,31,31,97482.0,227504.0,38109727,102,,,,,,,,,100489.0,,,
MI,ttd300,100,1,0.5,196.0,,ttd300_n100_L1_f050,1,ok,8590.3778,151186.0,,,1200.02,,,,,,,227504.0,21179425,,,83,203,2.446,59,5,"{1: 24, 2: 23, 3: 17, 4: 13, 5: 6}",203911.0,502272.0,89.6,55,28
SI,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-36373.4734,83464.0,119837.4734,2396.7495,1200.7512,1200.7511,99,68,31,31,99489.0,227504.0,35389755,94,,,,,,,,,100489.0,,,
MI,ttd300,100,1,0.75,295.0,,ttd300_n100_L1_f075,1,ok,2517.718,157187.0,,,1200.02,,,,,,,227504.0,20906023,,,81,208,2.568,60,5,"{1: 21, 2: 21, 3: 20, 4: 10, 5: 9}",208942.0,502272.0,91.8,59,22
SI,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-32453.3845,82708.0,115161.3845,2303.2277,1200.4733,1200.4733,97,72,25,25,97483.0,227504.0,35080454,94,,,,,,,,,100489.0,,,
MI,ttd300,100,1,1.0,393.0,,ttd300_n100_L1_f100,1,ok,1915.8105,155972.0,,,1200.02,,,,,,,227504.0,21097823,,,80,208,2.6,59,5,"{1: 21, 2: 21, 3: 17, 4: 11, 5: 10}",208968.0,502272.0,91.9,58,22
SI,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-38929.0412,83251.0,122180.0412,2443.6008,1200.7334,1200.7334,98,69,29,29,98488.0,227504.0,35592851,95,,,,,,,,,100489.0,,,
