param,value,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,R,vmin,vD
R,1,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,7415.2244,8573.0,1157.7756,1157.7756,120.0026,0.1026,10,10,0,0,10052.0,22750.0,19913487,497,,1.0,0.1,2.0
R,100,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-93589.1145,2387.0,95976.1145,959.7611,120.0025,0.1122,3,3,0,0,3006.0,22750.0,20438619,510,,100.0,0.1,2.0
R,12.5,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-5899.1949,8573.0,14472.1949,1157.7756,120.0026,0.0774,10,10,0,0,10052.0,22750.0,20042002,501,,12.5,0.1,2.0
R,200,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-188833.8032,844.0,189677.8032,948.389,120.0026,0.1347,1,1,0,0,1000.0,22750.0,20023666,500,,200.0,0.1,2.0
R,25,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-19668.3099,7023.0,26691.3099,1067.6524,120.0026,0.1036,8,8,0,0,8043.0,22750.0,20046505,501,,25.0,0.1,2.0
R,50,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0026,0.1052,5,5,0,0,5020.0,22750.0,20027623,500,,50.0,0.1,2.0
Wcap,0.25,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-47001.1697,844.0,47845.1697,956.9034,120.0026,0.0925,1,1,0,0,1000.0,5687.5,20533525,513,,50.0,0.1,2.0
Wcap,0.5,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-46449.2247,2387.0,48836.2247,976.7245,120.0025,0.1024,3,3,0,0,3006.0,11375.0,20105132,502,,50.0,0.1,2.0
Wcap,1,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1072,5,5,0,0,5020.0,22750.0,20340968,508,,50.0,0.1,2.0
Wcap,2,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-42938.8066,7023.0,49961.8066,999.2361,120.0027,0.1052,8,8,0,0,8043.0,45500.0,20029055,500,,50.0,0.1,2.0
Wcap,4,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-40792.7821,8573.0,49365.7821,987.3156,120.0026,0.1024,10,10,0,0,10052.0,91000.0,20006860,500,,50.0,0.1,2.0
baseline,-,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1027,5,5,0,0,5020.0,22750.0,20607640,515,,50.0,0.1,2.0
vDfact,0.5,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1028,5,5,0,0,5020.0,22750.0,20489719,512,,50.0,0.1,0.5
vDfact,1,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1029,5,5,0,0,5020.0,22750.0,20312149,507,,50.0,0.1,1.0
vDfact,2,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0026,0.106,5,5,0,0,5020.0,22750.0,20274832,506,,50.0,0.1,2.0
vDfact,3,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0026,0.1059,5,5,0,0,5020.0,22750.0,20252960,506,,50.0,0.1,3.0
vDfact,4,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1063,5,5,0,0,5020.0,22750.0,20226377,505,,50.0,0.1,4.0
vmin,0.05,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45335.2426,3344.0,48679.2426,973.5849,120.0026,0.124,4,4,0,0,4013.0,22750.0,20041903,501,,50.0,0.05,2.0
vmin,0.1,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0026,0.1056,5,5,0,0,5020.0,22750.0,20243064,506,,50.0,0.1,2.0
vmin,0.25,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-44741.8445,5176.0,49917.8445,998.3569,120.0025,0.1009,6,6,0,0,6027.0,22750.0,20300618,507,,50.0,0.25,2.0
vmin,0.5,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-43275.3212,7023.0,50298.3212,1005.9664,120.0025,0.1075,8,8,0,0,8043.0,22750.0,20151542,503,,50.0,0.5,2.0
vmin,0.9,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-39610.8364,8573.0,48183.8364,963.6767,120.0026,0.0871,10,10,0,0,10052.0,22750.0,19971243,499,,50.0,0.9,2.0
R,1,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,7507.2326,8573.0,1065.7674,1065.7674,120.0021,0.6981,10,8,2,2,10052.0,22750.0,17316452,432,,1.0,0.1,2.0
R,100,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-85876.5968,2463.0,88339.5968,883.396,120.002,0.1294,3,2,1,2,3008.0,22750.0,17705552,442,,100.0,0.1,2.0
R,12.5,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-4749.0928,8573.0,13322.0928,1065.7674,120.002,0.1277,10,8,2,2,10052.0,22750.0,17419397,435,,12.5,0.1,2.0
R,200,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-173571.8032,1506.0,175077.8032,875.389,120.0022,1.4686,2,1,1,2,2001.0,22750.0,17880830,446,,200.0,0.1,2.0
R,25,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-17585.5331,7023.0,24608.5331,984.3413,120.0021,0.1073,8,6,2,2,8043.0,22750.0,17308710,432,,25.0,0.1,2.0
R,50,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.1255,5,3,2,2,5024.0,22750.0,17350524,433,,50.0,0.1,2.0
Wcap,0.25,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-42689.1697,1506.0,44195.1697,883.9034,120.0023,0.0857,2,1,1,2,2001.0,5687.5,17993374,449,,50.0,0.1,2.0
Wcap,0.5,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-42297.1583,2463.0,44760.1583,895.2032,120.0022,0.3775,3,2,1,2,3008.0,11375.0,17697975,442,,50.0,0.1,2.0
Wcap,1,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.002,0.1254,5,3,2,2,5024.0,22750.0,17407479,435,,50.0,0.1,2.0
Wcap,2,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-39014.9153,7849.0,46863.9153,937.2783,120.0024,0.7036,9,7,2,2,9048.0,45500.0,17338281,433,,50.0,0.1,2.0
Wcap,4,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-36968.1886,8573.0,45541.1886,910.8238,120.0021,1.1167,10,8,2,2,10052.0,91000.0,17452045,436,,50.0,0.1,2.0
baseline,-,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.002,0.1266,5,3,2,2,5024.0,22750.0,17570123,439,,50.0,0.1,2.0
vDfact,0.5,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-43646.0413,4181.0,47827.0413,956.5408,120.0029,0.8899,5,4,1,1,5020.0,22750.0,18839865,470,,50.0,0.1,0.5
vDfact,1,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-42122.977,6045.0,48167.977,963.3595,120.0019,0.1299,7,5,2,2,7036.0,22750.0,17807158,445,,50.0,0.1,1.0
vDfact,2,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.002,0.1273,5,3,2,2,5024.0,22750.0,17542784,438,,50.0,0.1,2.0
vDfact,3,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.1169,5,3,2,2,5024.0,22750.0,17621723,440,,50.0,0.1,3.0
vDfact,4,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.002,0.1393,5,3,2,2,5024.0,22750.0,17385865,434,,50.0,0.1,4.0
vmin,0.05,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41376.1798,4327.0,45703.1798,914.0636,120.002,0.3823,5,3,2,2,5024.0,22750.0,17616604,440,,50.0,0.05,2.0
vmin,0.1,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.1237,5,3,2,2,5024.0,22750.0,17755630,443,,50.0,0.1,2.0
vmin,0.25,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-40806.4359,5164.0,45970.4359,919.4087,120.0021,0.9464,6,4,2,2,6031.0,22750.0,17523561,438,,50.0,0.25,2.0
vmin,0.5,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-39387.7507,7023.0,46410.7507,928.215,120.0022,0.9229,8,6,2,2,8043.0,22750.0,17442251,436,,50.0,0.5,2.0
vmin,0.9,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-35886.4194,8573.0,44459.4194,889.1884,120.0021,0.1468,10,8,2,2,10052.0,22750.0,17680650,441,,50.0,0.9,2.0
R,1,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,7683.1374,8573.0,889.8626,889.8626,120.0014,0.1929,10,5,5,5,10052.0,22750.0,14865973,371,,1.0,0.1,2.0
R,100,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-74246.9577,3344.0,77590.9577,775.9096,120.002,0.8184,4,2,2,4,4013.0,22750.0,14279407,356,,100.0,0.1,2.0
R,12.5,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-2550.2825,8573.0,11123.2825,889.8626,120.0014,0.1514,10,5,5,5,10052.0,22750.0,13999652,349,,12.5,0.1,2.0
R,200,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-151407.0231,2463.0,153870.0231,769.3501,120.0021,1.4653,3,1,2,4,3008.0,22750.0,14426316,360,,200.0,0.1,2.0
