factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
0,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1046,5,5,0,0,5020.0,22750.0,20310128,507,,1e-06
0.5,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1058,5,5,0,0,5020.0,22750.0,20006974,500,,0.5
1,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1046,5,5,0,0,5020.0,22750.0,20367707,509,,1.0
2,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0027,0.1044,5,5,0,0,5020.0,22750.0,20249514,506,,2.0
3,ttd300,10,1,0.25,76.0,306.0,ttd300_n10_L1_f025,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0025,0.1284,5,5,0,0,5020.0,22750.0,20101372,502,,3.0
0,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-45243.1965,4181.0,49424.1965,988.4839,120.0028,36.4417,5,5,0,0,5020.0,22750.0,20344906,508,,1e-06
0.5,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-43646.0413,4181.0,47827.0413,956.5408,120.0026,0.8883,5,4,1,1,5020.0,22750.0,19306076,482,,0.5
1,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-42122.977,6045.0,48167.977,963.3595,120.0021,0.1317,7,5,2,2,7036.0,22750.0,17628834,440,,1.0
2,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.1277,5,3,2,2,5024.0,22750.0,17419084,435,,2.0
3,ttd300,10,1,0.5,153.0,306.0,ttd300_n10_L1_f050,1,ok,-41253.16,4327.0,45580.16,911.6032,120.0021,0.1198,5,3,2,2,5024.0,22750.0,17604137,440,,3.0
0,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-46737.4834,2528.0,49265.4834,985.3097,120.0033,0.0037,3,3,0,0,3016.0,22750.0,20253505,506,,1e-06
0.5,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-41515.0659,4546.0,46061.0659,921.2213,120.003,2.1942,5,4,1,2,5028.0,22750.0,18538560,463,,0.5
1,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-38215.0582,7849.0,46064.0582,921.2812,120.002,2.4735,9,5,4,4,9048.0,22750.0,16150151,403,,1.0
2,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-34623.121,6045.0,40668.121,813.3624,120.002,0.1479,7,4,3,4,7036.0,22750.0,13819845,345,,2.0
3,ttd300,10,1,0.75,230.0,306.0,ttd300_n10_L1_f075,1,ok,-33876.8917,5164.0,39040.8917,780.8178,120.0021,7.4276,6,3,3,4,6031.0,22750.0,13782901,344,,3.0
0,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-45819.116,4327.0,50146.116,1002.9223,120.0038,75.5458,5,5,0,0,5024.0,22750.0,21468656,536,,1e-06
0.5,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-40142.3019,5176.0,45318.3019,906.366,120.003,0.3712,6,5,1,1,6027.0,22750.0,19598786,489,,0.5
1,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-36643.7611,7023.0,43666.7611,873.3352,120.003,12.2997,8,5,3,4,8043.0,22750.0,16663374,416,,1.0
2,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-29669.7658,7849.0,37518.7658,750.3753,120.0023,5.0382,9,4,5,5,9048.0,22750.0,13834404,345,,2.0
3,ttd300,10,1,1.0,306.0,306.0,ttd300_n10_L1_f100,1,ok,-28486.1913,6142.0,34628.1913,692.5638,120.0024,1.9698,7,4,3,5,7038.0,22750.0,13471468,336,,3.0
0,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-67028.8303,7345.0,74373.8303,1487.4766,300.0207,0.0297,8,8,0,0,8024.0,45501.0,36189390,473,,1e-06
1,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-58262.5893,13960.0,72222.5893,1444.4518,300.016,5.2951,16,11,5,6,16063.0,45501.0,31098538,406,,1.0
0.5,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-60871.718,11346.0,72217.718,1444.3544,300.0212,1.7689,13,12,1,1,13060.0,45501.0,34939708,457,,0.5
2,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54904.7824,12974.0,67878.7824,1357.5756,300.0163,5.2395,15,10,5,6,15059.0,45501.0,29766178,389,,2.0
3,ttd300,20,1,0.25,96.0,384.0,ttd300_n20_L1_f025,1,ok,-54738.1152,12974.0,67712.1152,1354.2423,300.0164,8.1949,15,10,5,6,15059.0,45501.0,29897216,390,,3.0
0,ttd300,20,1,0.5,192.0,384.0,ttd300_n20_L1_f050,1,ok,-67028.8303,7345.0,74373.8303,1487.4766,300.0266,0.0356,8,8,0,0,8024.0,45501.0,36168093,473,,1e-06
