method,n,layout,frac,instance,ED,beam,objective,time_s
GAT,100,1,f025,ttd300_n100_L1_f025,98.0,128,-101110.8015,138.8232
GAT,100,2,f025,ttd300_n100_L2_f025,98.0,128,-90646.9096,113.472
GAT,100,3,f025,ttd300_n100_L3_f025,94.0,128,-91389.4234,156.0599
GAT,100,4,f025,ttd300_n100_L4_f025,93.0,128,-86943.3781,110.9367
GAT,100,5,f025,ttd300_n100_L5_f025,92.0,128,-94976.4241,136.9223
GAT,100,1,f050,ttd300_n100_L1_f050,196.0,128,-73576.186,457.9815
GAT,100,2,f050,ttd300_n100_L2_f050,195.0,128,-66169.0766,498.2713
GAT,100,3,f050,ttd300_n100_L3_f050,188.0,128,-79654.5415,445.9828
GAT,100,4,f050,ttd300_n100_L4_f050,186.0,128,-76398.9597,294.5226
GAT,100,5,f050,ttd300_n100_L5_f050,183.0,128,-68814.1622,432.0306
GAT,100,1,f075,ttd300_n100_L1_f075,295.0,128,-75747.4955,1138.9118
GAT,100,2,f075,ttd300_n100_L2_f075,292.0,128,-57309.692,1387.7809
GAT,100,3,f075,ttd300_n100_L3_f075,282.0,128,-55739.3684,947.2298
GAT,100,4,f075,ttd300_n100_L4_f075,278.0,128,-63439.4449,1080.9176
GAT,100,5,f075,ttd300_n100_L5_f075,274.0,128,-74400.3126,1160.8581
GAT,100,1,f100,ttd300_n100_L1_f100,393.0,128,-68298.5765,2037.6212
GAT,100,2,f100,ttd300_n100_L2_f100,390.0,128,-57309.692,1911.3203
GAT,100,3,f100,ttd300_n100_L3_f100,376.0,128,-61569.365,2151.2005
GAT,100,4,f100,ttd300_n100_L4_f100,371.0,128,-60500.6752,3402.8086
GAT,100,5,f100,ttd300_n100_L5_f100,366.0,128,-63612.29,1709.1134
GAT,10,1,f025,ttd300_n10_L1_f025,76.0,256,-45243.1965,57.8658
GAT,10,1,f050,ttd300_n10_L1_f050,153.0,256,-42291.7217,41.8532
GAT,10,1,f075,ttd300_n10_L1_f075,230.0,256,-36017.2655,27.4229
GAT,10,1,f100,ttd300_n10_L1_f100,306.0,256,-30427.4465,27.2984
GAT,10,2,f025,ttd300_n10_L2_f025,68.0,256,-35485.5482,23.4282
GAT,10,2,f050,ttd300_n10_L2_f050,135.0,256,-31974.7911,27.4308
GAT,10,2,f075,ttd300_n10_L2_f075,202.0,256,-30157.1666,27.7405
GAT,10,2,f100,ttd300_n10_L2_f100,270.0,256,-21652.1846,28.3172
GAT,10,3,f025,ttd300_n10_L3_f025,75.0,256,-46605.8455,24.6043
GAT,10,3,f050,ttd300_n10_L3_f050,150.0,256,-43800.7035,22.3079
GAT,10,3,f075,ttd300_n10_L3_f075,225.0,256,-40699.5969,28.1757
GAT,10,3,f100,ttd300_n10_L3_f100,300.0,256,-28568.8481,27.7887
GAT,10,4,f025,ttd300_n10_L4_f025,63.0,256,-39204.872,24.5137
GAT,10,4,f050,ttd300_n10_L4_f050,126.0,256,-36633.872,24.1287
GAT,10,4,f075,ttd300_n10_L4_f075,189.0,256,-23642.3451,24.7634
GAT,10,4,f100,ttd300_n10_L4_f100,252.0,256,-22168.452,26.7454
GAT,10,5,f025,ttd300_n10_L5_f025,70.0,256,-43130.5484,24.3446
GAT,10,5,f050,ttd300_n10_L5_f050,139.0,256,-38700.5448,24.9613
GAT,10,5,f075,ttd300_n10_L5_f075,208.0,256,-31116.3078,29.2477
GAT,10,5,f100,ttd300_n10_L5_f100,278.0,256,-29466.3078,26.3725
GAT,20,1,f025,ttd300_n20_L1_f025,96.0,256,-62014.1624,105.0782
GAT,20,1,f050,ttd300_n20_L1_f050,192.0,256,-54062.4085,68.6936
GAT,20,1,f075,ttd300_n20_L1_f075,288.0,256,-47405.0895,94.0663
GAT,20,1,f100,ttd300_n20_L1_f100,384.0,256,-34491.3993,105.6432
GAT,20,2,f025,ttd300_n20_L2_f025,75.0,256,-45564.9924,54.2531
GAT,20,2,f050,ttd300_n20_L2_f050,150.0,256,-42304.3051,56.1779
GAT,20,2,f075,ttd300_n20_L2_f075,224.0,256,-36259.769,68.8061
GAT,20,2,f100,ttd300_n20_L2_f100,299.0,256,-35941.8894,159.1798
GAT,20,3,f025,ttd300_n20_L3_f025,89.0,256,-58632.805,95.9589
GAT,20,3,f050,ttd300_n20_L3_f050,178.0,256,-55534.5645,143.6068
GAT,20,3,f075,ttd300_n20_L3_f075,268.0,256,-44663.5284,119.1637
GAT,20,3,f100,ttd300_n20_L3_f100,357.0,256,-44954.8419,172.4626
GAT,20,4,f025,ttd300_n20_L4_f025,82.0,256,-50430.7937,92.2442
GAT,20,4,f050,ttd300_n20_L4_f050,164.0,256,-45440.3241,89.7503
GAT,20,4,f075,ttd300_n20_L4_f075,246.0,256,-36653.6899,108.1824
GAT,20,4,f100,ttd300_n20_L4_f100,328.0,256,-38671.4438,131.3254
GAT,20,5,f025,ttd300_n20_L5_f025,90.0,256,-60711.0376,83.2387
GAT,20,5,f050,ttd300_n20_L5_f050,180.0,256,-49447.9801,126.5358
GAT,20,5,f075,ttd300_n20_L5_f075,270.0,256,-49901.4655,127.3486
GAT,20,5,f100,ttd300_n20_L5_f100,360.0,256,-43006.5846,129.2653
GAT,30,1,f100,ttd300_n30_L1_f100,374.0,256,-30743.6434,469.9654
GAT,30,2,f100,ttd300_n30_L2_f100,372.0,256,-40029.9572,428.4297
GAT,30,3,f100,ttd300_n30_L3_f100,321.0,256,-35313.5121,418.0755
GAT,30,4,f100,ttd300_n30_L4_f100,347.0,256,-39478.9152,350.4293
GAT,30,5,f100,ttd300_n30_L5_f100,331.0,256,-37249.8004,283.8855
GAT,40,1,f100,ttd300_n40_L1_f100,378.0,256,-40024.2819,864.4332
GAT,40,2,f100,ttd300_n40_L2_f100,321.0,256,-36284.4733,734.3142
GAT,40,3,f100,ttd300_n40_L3_f100,382.0,256,-43333.2582,522.7587
GAT,40,4,f100,ttd300_n40_L4_f100,365.0,256,-37432.1975,329.468
GAT,40,5,f100,ttd300_n40_L5_f100,400.0,256,-40453.1466,247.4797
GAT,50,1,f100,ttd300_n50_L1_f100,374.0,128,-40434.5309,294.8601
GAT,50,2,f100,ttd300_n50_L2_f100,343.0,128,-37104.9361,294.8445
GAT,50,3,f100,ttd300_n50_L3_f100,379.0,128,-52663.653,287.9884
GAT,50,4,f100,ttd300_n50_L4_f100,375.0,128,-45705.5824,379.021
GAT,50,5,f100,ttd300_n50_L5_f100,372.0,128,-43885.3497,274.8616
GAT,75,1,f025,ttd300_n75_L1_f025,94.0,128,-91671.8617,68.5057
GAT,75,2,f025,ttd300_n75_L2_f025,97.0,128,-87456.3339,68.1588
GAT,75,3,f025,ttd300_n75_L3_f025,91.0,128,-84224.6332,90.8673
GAT,75,4,f025,ttd300_n75_L4_f025,88.0,128,-93038.2365,67.4385
GAT,75,5,f025,ttd300_n75_L5_f025,100.0,128,-100128.5647,66.2579
GAT,75,1,f050,ttd300_n75_L1_f050,187.0,128,-62529.4364,446.0896
GAT,75,2,f050,ttd300_n75_L2_f050,194.0,128,-60662.0631,358.6999
GAT,75,3,f050,ttd300_n75_L3_f050,182.0,128,-59786.6219,847.5752
GAT,75,4,f050,ttd300_n75_L4_f050,177.0,128,-65625.4534,764.8373
GAT,75,5,f050,ttd300_n75_L5_f050,199.0,128,-57369.9434,538.1881
