method,n,layout,frac,instance,ED,beam,objective,time_s
MLP,100,1,f025,ttd300_n100_L1_f025,98.0,128,-63388.8231,372.9281
MLP,100,2,f025,ttd300_n100_L2_f025,98.0,128,-69847.231,421.3931
MLP,100,3,f025,ttd300_n100_L3_f025,94.0,128,-69504.9797,361.2291
MLP,100,4,f025,ttd300_n100_L4_f025,93.0,128,-80480.4371,292.9928
MLP,100,5,f025,ttd300_n100_L5_f025,92.0,128,-74403.0873,266.2369
MLP,100,1,f050,ttd300_n100_L1_f050,196.0,128,-50792.5769,1133.2142
MLP,100,2,f050,ttd300_n100_L2_f050,195.0,128,-43519.3363,1137.6895
MLP,100,3,f050,ttd300_n100_L3_f050,188.0,128,-47411.7089,1159.9971
MLP,100,4,f050,ttd300_n100_L4_f050,186.0,128,-50700.3064,951.6878
MLP,100,5,f050,ttd300_n100_L5_f050,183.0,128,-49934.4894,1051.3416
MLP,100,1,f100,ttd300_n100_L1_f100,393.0,128,-48943.4105,2207.7776
MLP,100,2,f100,ttd300_n100_L2_f100,390.0,128,-36030.2476,3735.5381
MLP,100,3,f100,ttd300_n100_L3_f100,376.0,128,-38610.7271,1898.874
MLP,100,4,f100,ttd300_n100_L4_f100,371.0,128,-38660.4894,1967.5651
MLP,100,5,f100,ttd300_n100_L5_f100,366.0,128,-47659.8621,1215.4168
MLP,10,1,f025,ttd300_n10_L1_f025,76.0,256,-45243.1965,57.0856
MLP,10,1,f050,ttd300_n10_L1_f050,153.0,256,-42672.5987,40.9522
MLP,10,1,f075,ttd300_n10_L1_f075,230.0,256,-35914.549,26.9856
MLP,10,1,f100,ttd300_n10_L1_f100,306.0,256,-30399.5265,24.7111
MLP,10,2,f025,ttd300_n10_L2_f025,68.0,256,-35485.5482,22.1764
MLP,10,2,f050,ttd300_n10_L2_f050,135.0,256,-31974.7911,25.0907
MLP,10,2,f075,ttd300_n10_L2_f075,202.0,256,-31549.4996,27.2271
MLP,10,2,f100,ttd300_n10_L2_f100,270.0,256,-24173.5596,27.6449
MLP,10,3,f025,ttd300_n10_L3_f025,75.0,256,-46605.8455,24.306
MLP,10,3,f050,ttd300_n10_L3_f050,150.0,256,-43800.7035,20.3769
MLP,10,3,f075,ttd300_n10_L3_f075,225.0,256,-40770.922,28.1064
MLP,10,3,f100,ttd300_n10_L3_f100,300.0,256,-30939.4728,26.0388
MLP,10,4,f025,ttd300_n10_L4_f025,63.0,256,-39204.872,23.8815
MLP,10,4,f050,ttd300_n10_L4_f050,126.0,256,-36633.872,23.7224
MLP,10,4,f075,ttd300_n10_L4_f075,189.0,256,-23642.3451,24.2839
MLP,10,4,f100,ttd300_n10_L4_f100,252.0,256,-22529.8262,25.2128
MLP,10,5,f025,ttd300_n10_L5_f025,70.0,256,-43130.5484,23.7619
MLP,10,5,f050,ttd300_n10_L5_f050,139.0,256,-38700.5448,23.1953
MLP,10,5,f075,ttd300_n10_L5_f075,208.0,256,-31116.3078,25.5666
MLP,10,5,f100,ttd300_n10_L5_f100,278.0,256,-29466.3078,27.8741
MLP,20,1,f025,ttd300_n20_L1_f025,96.0,256,-60378.0437,108.0881
MLP,20,1,f050,ttd300_n20_L1_f050,192.0,256,-54583.7893,70.7932
MLP,20,1,f075,ttd300_n20_L1_f075,288.0,256,-42909.8907,91.2012
MLP,20,1,f100,ttd300_n20_L1_f100,384.0,256,-33046.1613,99.5957
MLP,20,2,f025,ttd300_n20_L2_f025,75.0,256,-43995.1454,57.1372
MLP,20,2,f050,ttd300_n20_L2_f050,150.0,256,-43332.306,59.0241
MLP,20,2,f075,ttd300_n20_L2_f075,224.0,256,-29184.351,70.3501
MLP,20,2,f100,ttd300_n20_L2_f100,299.0,256,-27377.005,160.1866
MLP,20,3,f025,ttd300_n20_L3_f025,89.0,256,-58734.3401,98.0446
MLP,20,3,f050,ttd300_n20_L3_f050,178.0,256,-58628.7472,141.4199
