method,n,layout,frac,instance,ED,objective,time_s,seed,beam,source
VNS,10,3,f025,ttd300_n10_L3_f025,75.0,-46605.8455,120.0002,0,,SA and VNS.csv
VNS,10,4,f025,ttd300_n10_L4_f025,63.0,-39204.872,120.0,0,,SA and VNS.csv
VNS,10,2,f025,ttd300_n10_L2_f025,68.0,-35485.5482,120.0,0,,SA and VNS.csv
VNS,10,1,f025,ttd300_n10_L1_f025,76.0,-45243.1965,120.0,0,,SA and VNS.csv
VNS,10,5,f025,ttd300_n10_L5_f025,70.0,-43130.5484,120.0,0,,SA and VNS.csv
VNS,10,1,f050,ttd300_n10_L1_f050,153.0,-41253.16,120.0,0,,SA and VNS.csv
VNS,10,2,f050,ttd300_n10_L2_f050,135.0,-31974.7911,120.0,0,,SA and VNS.csv
VNS,10,3,f050,ttd300_n10_L3_f050,150.0,-43655.7454,120.0,0,,SA and VNS.csv
VNS,10,4,f050,ttd300_n10_L4_f050,126.0,-36633.872,120.0,0,,SA and VNS.csv
VNS,10,5,f050,ttd300_n10_L5_f050,139.0,-38700.5448,120.0,0,,SA and VNS.csv
VNS,10,1,f075,ttd300_n10_L1_f075,230.0,-35402.3673,120.0,0,,SA and VNS.csv
VNS,10,2,f075,ttd300_n10_L2_f075,202.0,-30081.8141,120.0,0,,SA and VNS.csv
VNS,10,3,f075,ttd300_n10_L3_f075,225.0,-39634.0283,120.0002,0,,SA and VNS.csv
VNS,10,4,f075,ttd300_n10_L4_f075,189.0,-23642.3451,120.0,0,,SA and VNS.csv
VNS,10,5,f075,ttd300_n10_L5_f075,208.0,-31116.3078,120.0,0,,SA and VNS.csv
VNS,10,1,f100,ttd300_n10_L1_f100,306.0,-29669.7658,120.0,0,,SA and VNS.csv
VNS,10,3,f100,ttd300_n10_L3_f100,300.0,-27048.6463,120.0,0,,SA and VNS.csv
VNS,10,2,f100,ttd300_n10_L2_f100,270.0,-21359.9423,120.0012,0,,SA and VNS.csv
VNS,10,4,f100,ttd300_n10_L4_f100,252.0,-21573.3511,120.0,0,,SA and VNS.csv
VNS,10,5,f100,ttd300_n10_L5_f100,278.0,-29298.4085,120.0,0,,SA and VNS.csv
